english,transliteration,arabic
screens,šaašaat,شاشات
drama,draama,دراما
comedy,komedy,كوديدي
action,akšun,أكشن
adventure,muġaamara,مغامرة
crime,ijraam,اجرام
family,3aa'ili,عائلي
fantasy,xayaali,خيالي
science fiction,xayaali 3ilmi,خيالي علمي
horror,ru3b,رعب
mystery,luġz,لغز
thriller,tašwiiq/mušawwiq,مشوق | تشويق
romance,romaansi,رومانسي
musical,muusiiqi,موسيقي
war,Harbi,حربي
historical,taariixi,تاريخي
documentary,wataa'iqi,وثائقي
cartoon,kartuun,كرتون
dubbed,mudablaj,مدبلج
subtitled,mutarjam,مترجم
entertainment,tasliyya,تسلية
relaxation,tarfiih,ترفيه
epic,malHami,ملحمي
cinematic masterpiece,tuHfa,تحفة
cinematic masterpieces,tuHaf sinimaa'iyya,تحف سينمائية
devastating,mudammir,مدمر
exciting ,mutiir ,مثير 
full of,malii' bi,ملئ بـ
fun,maraH,مرح
enjoyable,mumti3,ممتع
entertaining,musallin,مسلٍ
excellent,raa'i3,رائع
distinguished,mumayyaz,مميز
special,mutamayyiz,متميز
great,mumtaaz,ممتاز
unique,fariid,فريد
rare,naadir,نادر
marvellous,xaariq,خارق
astonishing,mudhil,مذهل
attractive,jaddaab,جذاب
funny,muDHik,مضحك
boring,mumill,مملّ
ordinary,3aadi,عادي
exaggerated,mubaaliġ,مبالغ
silly,saxiif,سخيف
realistic,waaqi3i,واقعي
mysterious,ġaamiD,غامض
terrifying,mufzi3,مفزع
disgusting,muqazziz,مقزز
literature,adab,أدب
literature,aadaab,آداب
novel,riwaaya,رواية
novels,riwaayaat,روايات
short story,qiSSa qaSiira,قصة
short stories,qiSaS qaSiira,قصص قصيرة
book,kitaab,كتاب
books,kutub,كتب
series,silsila,سلسلة
series,salaasil,سلاسل
writer,kaatib,كاتب
writers,kuttaab,كتاب
author,mu'allif,مؤلف
author,adiib,أديب
authors,udabaa',أدباء
introduction,muqaddima,مقدمة
introductions,muqaddimaat,مقدمات
preface,tamhiid,تمهيد
dedication to,ihdaa' li/ila,اهداء لـ | إلى
chapter,faSl,فصل
chapters,fuSuul,فصول
index,fihris,فهرس
indices,fahaaris,فهارس
page,SafHa,صفحة
pages,SafaHaat,صفحات
word,kalima,كلمة
words,kalimaat,كلمات
sentence,jumla,جملة
sentences,jumal,جمل
line,saTr,سطر
lines,suTuur,سطور
paragraph,fiqra,فقرة
paragraphs,fiqaraat,فقرات
passage,naSS,نص
passages,nuSuuS,نصوص
poetry,ši3r,شعر
poem,qaSiida,قصيدة
poems,qaSaa'id,قصائد
stanza,maqtuu3a,مقطوعة
stanzas,maqTuu3aat,مقطوعات
verse,bait,بيت
verses,abyaat,أبيات
collection of poetry,diiwaan,ديوان
collection of poetries,dawaawiin,دواوين
poet,šaa3ir,شاعر
poets,šu3araa',شعراء
complete works,a3maal kaamila,أعمال كاملة
play,masraHiyya,مسرحية
plays,masraHiyyaat,مسرحيات
theater,masraH,مسرح
theaters,masaariH,مسارح
act,faSl,فصل
acts,fuSuul,فصول
scene,mašhad,مشهد
scenes,mašaahid,مشاهد
television,televizyoon,تلفزيون
televisions,televizyoonaat,تلفزيونات
program,barnaamaj,برنامج
programs,baraamij,برامج
TV show,musalsal,مسلسل
TV shows,musalsalaat,مسلسلات
episode,Halqa,حلقة
episodes,Halaqaat,حلقات
report,taqriir,تقرير
reports,taqaariir,تقارير
network,šabaka,شبكة
networks,šabakaat,شبكات
channel,qanaah,قناة
channels,qanaawaat,قناوات
satellite channels,faDaa'iyaat,فضائيات
advertisement ,i3laan,إعلان
advertisement s,i3laanaat,إعلانات
host,muqaddim,مقدّم
correspondent,muraasil,مراسل
broadcaster,mudii3,مذيع
live ,mubaašir,مباشر
breaking news,axbaar 3aajila,أخبار عاجلة
coming up,ba3d qaliil,بعد قليل
newspaper,jariida,جريدة
newspapers,jaraa'id,جرائد
magazine,majalla,مجلة
magazines,majallaat,مجلات
issue ,3adad,عدد
issue s,a3daad,أعداد
journalism,SiHaafa,صحافة
editor,ra'iis taHriir,رئيس تحرير
journalist,SuHufi,صحفي
photographer,muSawwir,مصور
photographers,muSawwaraatiyya,مصوراتية
photography,taSwiir,تصوير
picture,Suura,صورة
pictures,Suwar,صور
camera,kamira,كاميرا
cameras,kamiraat,كاميرات
interview,muqaabala,مقابلة
article,maqaala,مقالة
articles,maqaalaat,مقالات
column,3amuud,عمود
columns,a3mida,أعمدة
classified ads,i3laanaat mubawwaba,إعلانات مبوبة
