english,transliteration,arabic,source
corner s,nawaaSin,نواص,city_and_transportation
corner ,rukn,ركن,city_and_transportation
corner s,arkaan,أركان,city_and_transportation
tunnel,nafaq,نفق,city_and_transportation
tunnels,anfaaq,انفاق,city_and_transportation
building,3imaara,عمارة,city_and_transportation
buildings,3imaaraat,عمارات,city_and_transportation
real estate,3aqaar,عقار,city_and_transportation
real estates,3aqaaraat,عقارات,city_and_transportation
house,beit,بيت,city_and_transportation
houses,buyuut,بيوت,city_and_transportation
apartment,šaqqa,شقة,city_and_transportation
apartments,šiqaq,شقق,city_and_transportation
bridge,jisr,جسر,city_and_transportation
bridges,jusuur,جسور,city_and_transportation
fence,suur,سور,city_and_transportation
fences,aswaar,أسوار,city_and_transportation
square,meidaan,ميدان,city_and_transportation
squares,mayaadiin,ميادين,city_and_transportation
company,šarika,شركة,city_and_transportation
companies,šarikaat,شركات,city_and_transportation
center,markaz,مركز,city_and_transportation
centers,maraakiz,مراكز,city_and_transportation
shop,maHall,محلّ,city_and_transportation
shops,maHallaat,محلات,city_and_transportation
small grocery shop,baqqaala,بقالة,city_and_transportation
small grocery shops,baqqaalaat,بقالات,city_and_transportation
cafe,maqha,مقهى,city_and_transportation
cafes,maqhaah,مقهاة,city_and_transportation
club,naadii,نادي,city_and_transportation
clubs,nawaadii,نوادي,city_and_transportation
bar,Haana,حانة,city_and_transportation
bars,Haanaat,حانات,city_and_transportation
movie theater,sinima,سينما,city_and_transportation
movie theaters,sinimaat,سينمات,city_and_transportation
theater,masraH,مسرح,city_and_transportation
theaters,masaariH,مسارح,city_and_transportation
gallery,ma3riD,معرض,city_and_transportation
galleries,ma3aariD,معارض,city_and_transportation
fair,mihrajaan,مهرجان,city_and_transportation
fairs,mihrajaanaat,مهرجانات,city_and_transportation
park,Hadiiqa,حديقة,city_and_transportation
parks,Hadaa'iq,حدائق,city_and_transportation
bench,maq3ad,مقعد,city_and_transportation
benches,maqaa3id,مقاعد,city_and_transportation
restaurant,maT3am,مطعم,city_and_transportation
restaurants,maTaa3im,مطاعم,city_and_transportation
school,madrasa,مدرسة,city_and_transportation
schools,madaaris,مدارس,city_and_transportation
university,jaami3a,جامعة,city_and_transportation
universities,jaami3aat,جامعات,city_and_transportation
mosque,jaami3,جامع,city_and_transportation
mosques,jawaami3,جوامع,city_and_transportation
church,kaniisa,كنيسة,city_and_transportation
churches,kanaa'is,كنائس,city_and_transportation
synagogue,kaniis,كنيس,city_and_transportation
temple,ma3bad,معبد,city_and_transportation
temples,ma3aabid,معابد,city_and_transportation
tower,burj,برج,city_and_transportation
towers,abraaj,أبراج,city_and_transportation
graveyard,jabbaana,جبّانة,city_and_transportation
graveyards,jabbaanaat,جبّانات,city_and_transportation
brick,Tuub,طوب,city_and_transportation
tin,SafiiH,صفيح,city_and_transportation
tourism,siyaaHa,سياحة,city_and_transportation
insurance,ta'miin,تأمين,city_and_transportation
 exchange,Siraafa,صرافة,city_and_transportation
bank,bank,بنك,city_and_transportation
banks,bunuuk,بنوك,city_and_transportation
ATM,Sarraaf aali,صرّاف آلي,city_and_transportation
library; bookstore,maktaba,مكتبة,city_and_transportation
library; bookstores,maktabaat,مكتبات,city_and_transportation
station,maHaTTa,محطة,city_and_transportation
stations,maHaTTaat,محطات,city_and_transportation
airport,maTaar,مطار,city_and_transportation
airports,maTaaraat,مطارات,city_and_transportation
hotel,funduq,فندق,city_and_transportation
hotels,fanaadiq,فنادق,city_and_transportation
museum,matHaf,متحف,city_and_transportation
museums,mataaHif,متاحف,city_and_transportation
palace,qaSr,قصر,city_and_transportation
palaces,quSuur,قصور,city_and_transportation
citadel,qal3a,قلعة,city_and_transportation
citadels,quluu3,قلوع,city_and_transportation
hospital,mustašfa,مستشفى,city_and_transportation
hospitals,mustašfayaat,مستشفيات,city_and_transportation
clinic,3iyaada,عيادة,city_and_transportation
clinics,3iyaadaat,عيادات,city_and_transportation
bakery,maxbaz,مخبز,city_and_transportation
bakeries,maxaabiz,مخابز,city_and_transportation
pharmacy,Saydaliyya,صيدلية,city_and_transportation
pharmacies,Saydaliyyaat,صيدليات,city_and_transportation
fountain,yanbuu3,ينبوع,city_and_transportation
fountains,yanaabii3,ينابيع,city_and_transportation
auditorium,mudarraj,مدرّج,city_and_transportation
auditoriums,mudarrajaat,مدرّجات,city_and_transportation
sidewalk,raSiif,رصيف,city_and_transportation
covered in asphalt,mitsaflit,متسفلت,city_and_transportation
pothole; speed bump,maTabb,مطبّ,city_and_transportation
pothole; speed bumps,maTabbaat,مطبّات,city_and_transportation
sewer,ballaa3a,بلاعة,city_and_transportation
sewers,ballaa3aat,بلاعات,city_and_transportation
sewage,majaari,مجاري,city_and_transportation
hole,Hufra,حفرة,city_and_transportation
holes,Hufar,حفر,city_and_transportation
sign,yaafiTa,يافطة,city_and_transportation
signs,yaafiTaat,يافطات,city_and_transportation
public transportation,muwaaSlaat,مواصلات,city_and_transportation
traffic,muruur,مرور,city_and_transportation
crowdedness,izdiHaam,ازدحام,city_and_transportation
noise,Dajja,ضجّة,city_and_transportation
pollution,tilawwat,تلوث,city_and_transportation
mess,harjala,هرجلة,city_and_transportation
trash,nufaaya,نفاية,city_and_transportation
queue,Taabuur,طابور,city_and_transportation
queues,Tawaabiir,طوابير,city_and_transportation
car,sayyaara,سيارة,city_and_transportation
cars,sayyaaraat,سيارات,city_and_transportation
bus,Haafila,حافلة,city_and_transportation
buses,Hawaafil,حوافل,city_and_transportation
bicycle,darraaja,درّاجة,city_and_transportation
bicycles,darraajaat,درّاجات,city_and_transportation
motorcycle,darraaja naariyya,درّاجة نارية,city_and_transportation
truck,šaaHina,شاحنة,city_and_transportation
trucks,šaaHinaat,شاحنات,city_and_transportation
taxi,taksi,تاكسي,city_and_transportation
taxis,taksiyaat,تاكسيات,city_and_transportation
meter,3addaad,عدّاد,city_and_transportation
meters,3addaadaat,عدّادات,city_and_transportation
tire,iTaar,اطار,city_and_transportation
tires,iTaaraat,اطارات,city_and_transportation
wheel,iTaar,اطار,city_and_transportation
wheels,iTaaraat,اطارات,city_and_transportation
brakes,faraamil,فرامل,city_and_transportation
car hood,kabbuut,كبوت,city_and_transportation
car hoods,kababiit,كبابيت,city_and_transportation
clutch,dibriyaaž,دبرياج,city_and_transportation
clutches,dibriyažaat,دبرياجات,city_and_transportation
car trunk,šanTit il-3arabiyya,شنطة العربية,city_and_transportation
workshop,warša,ورشة,city_and_transportation
workshops,wiraš,ورش,city_and_transportation
gas,binziin,بنزين,city_and_transportation
driver's license,ruxSa,رخصة,city_and_transportation
driver's licenses,ruxaS qiyaada,رخص قيادة,city_and_transportation
car horn,buuq,بوق,city_and_transportation
car horns,abwaaq,أبواق,city_and_transportation
accident,Haadita,حادثة,city_and_transportation
accidents,Hawaadit,حوادث,city_and_transportation
driver,saa'iq,سائق,city_and_transportation
drivers,saa'iquun,سائقون,city_and_transportation
train,qiTaar,قطار,city_and_transportation
trains,qiTaaraat,قطارات,city_and_transportation
a train/metro pass for a month or several months,'aboneih,أبونيه,city_and_transportation
boat,markab,مركب,city_and_transportation
boats,maraakib,مراكب,city_and_transportation
boat ,qaarib,قارب,city_and_transportation
boat s,qawaarib,قوارب,city_and_transportation
ship,safiina,سفينة,city_and_transportation
ships,sufun,سفن,city_and_transportation
liner,3abbaara,عبّارة,city_and_transportation
liners,3abbaaraat,عبّارات,city_and_transportation
plane,Taa'ira,طائرة,city_and_transportation
planes,Taa'iraat,طائرات,city_and_transportation
visa,ta'šiira,تأشيرة,city_and_transportation
visas,ta'šiiraat,تأشيرات,city_and_transportation
helicopter,marwaHiyya,مروحية,city_and_transportation
trip,riHla,رحلة,city_and_transportation
trips,riHalaat,رحلات,city_and_transportation
to be cancelled ,itlaġa - yitliġi ,اتلغى - يتلغي ,city_and_transportation
tour,jawla,جولة,city_and_transportation
tours,jawlaat,جولات,city_and_transportation
clothes,malaabis,ملابس,clothing
stylish,aniiq ,أنيق  ,clothing
chic,šiik ,شيك ,clothing
overdressed,moHaflaT,محفلط,clothing
shirt,qamiiS,قميص,clothing
shirts,qumSaan,قمصان,clothing
sleeve,kumm,كم,clothing
sleeves,akmaam,أكمام,clothing
blouse,baluuza,بلوزة,clothing
blouses,baluuzaat,بلوزات,clothing
coat,mi3Taf,معطف,clothing
coats,ma3aaTif,معاطف,clothing
jacket,sutra,سترة,clothing
jackets,sutar,ستر,clothing
pants,banTaloon,بنطلون,clothing
pants,banTaloonaat,بنطلونات,clothing
shorts,banTaloon qaSiir,بنطلون قصير,clothing
shorts,šorTaat,شرطات,clothing
skirt,tannuura,تنّورة,clothing
skirts,tannuuraat,تنّورات,clothing
dress,fustaan,فستان,clothing
dresses,fasaatiin,فساتين,clothing
suit,badla,بدلة,clothing
suits,bidal,بدل,clothing
pajamas,bižaama,بيجامة,clothing
pajamas,bižamaat,بيجامات,clothing
underwear,malaabis daaxiliyya,ملابس داخلية,clothing
underpants,malaabis daaxiliyya,ملابس داخلية,clothing
underpants,kilottaat,كلوتّات,clothing
men's underwear,malaabis daaxiliyya rajaaliyya,ملابس داخلية رجالية,clothing
men's underwears,libasaat/libisa,لباسات | لبسة,clothing
bra,malaabis daaxiliyya Hariimi,ملابس داخلية حريمي,clothing
bras,sutyanaat,ستيانات,clothing
diaper,HifaaZ,حفاظ,clothing
diapers,HifaaZaat aTfaal,حفاظات أطفال,clothing
hat,qubba3a,قبعة,clothing
hats,qubba3aat,قبعات,clothing
gloves,quffaaz,قفّاز,clothing
gloves,quffaazaat,قفّازات,clothing
scarf,wišaaH,وشاح,clothing
scarves,awšiHa,أوشحة,clothing
belt,Hizaam,حزام,clothing
belts,aHzima,أحزمة,clothing
buckle,ibziim,ابزيم,clothing
buckles,abaaziim,أبازيم,clothing
tie,rabTa,ربطة,clothing
ties,ribaaT 3unuq,رباط عنق,clothing
sock,jawrab,جورب,clothing
socks,jawaarib,جوارب,clothing
shoe,aHdiya,أحذية,clothing
shoes,Hidaa',حذاء,clothing
slipper,xuff,خفّ,clothing
slippers,xifaaf | axfaaf,خفاف | اخفاف,clothing
collar,qabba,قبّة,clothing
collars,qabbaat,قبّات,clothing
button,zirr,زرّ,clothing
buttons,azraar,ازرار,clothing
pocket,jeib,جيب,clothing
pockets,juyuub,جيوب,clothing
zipper,saHHaab,سحاب,clothing
thread,xeiT,خيط,clothing
threads,xuyuuT,خيوط,clothing
jewel,jawhara,جوهرة,clothing
jewels,jawaahir,جواهر,clothing
jewelry,mugawharaat,مجوهرات,clothing
gold/silver/jewels,maSuughaat,مصوغات,clothing
earring,Halaq,حلق,clothing
earrings,Hilqaan,حلقان,clothing
necklace,3iqd,عقد,clothing
necklaces,3uquud,عقود,clothing
necklace,kirdaan,كردان,clothing
necklaces,karaadiin,كرادين,clothing
bracelet,siwaar,سوار,clothing
bracelets,aswira,أسورة,clothing
ring,xaatim,خاتم,clothing
rings,xawaatim,خواتم,clothing
gold,dahab,ذهب,clothing
silver,fiDDa,فضّة,clothing
pearls,lu'lu',لؤلؤ,clothing
glasses,naZZaara,نظّارة,clothing
contact lenses,3adasaat laaSiqa,عدسات لاصقة,clothing
sunglasses,naZZaara šamsiyya,نظّارة شمسية,clothing
wristwatch,saa3at yad,ساعة يد,clothing
wallet,maHfaZa,محفظة,clothing
wallets,maHaafiZ,محافظ,clothing
umbrella,miZalla,مظلّة,clothing
umbrellas,miZallaat,مظلات,clothing
fabric,aqmiša,أقمشة,clothing
silk,Hariir,حرير,clothing
silks,Haraa'ir,حرائر,clothing
wool,Suuf,صوف,clothing
wools,aSwaaf,اصواف,clothing
velvet,muxmal,مخمل,clothing
cotton,quTun,قطن,clothing
cottons,aqTaan,اقطان,clothing
lace,taxriima,تخريمة,clothing
leather,jild,جلد,clothing
dotted,munaqqaT,منقّط,clothing
striped,muqallam,مقلّم,clothing
plaid,karohaat,كروهات,clothing
solid color,saada,سادة,clothing
embroidered,muzayyan,مزيّن,clothing
patterned,mušajjar,مشجّر,clothing
tight,Dayyiq,ضيّق,clothing
loose,waasi3,واسع,clothing
wide,waasi3,واسع,clothing
wides,3uraaD,عراض,clothing
modest,muHtašim,محتشم,clothing
torn,maqTuu3,مقطوع,clothing
tailor,xayyaaT,خيّاط,clothing
tailors,xayyaaTuun,خيّاطون,clothing
 size,maqaas,مقاس,clothing
 sizes,maqaasaat,مقاسات,clothing
to fit,faSSal - yifaSSal ,فصّل - يفصّل,clothing
color,loon,لون,colors
colors,alwaan,ألوان,colors
colored,mulawwan,ملوّن,colors
light,faatiH,فاتح,colors
dark,ġaamiq,غامق,colors
bright,barraaq,براق,colors
shiny,laami3,لامع,colors
black,"aswad , sudaa' , suud",اسود – سوداء,colors
blacks,suud,سود,colors
navy blue,kuHli,كحلي,colors
royal blue,zahri,زهري,colors
sky blue,samaa'i,سمائي,colors
baby blue,labani,لبني,colors
indigo,niili,نيلي,colors
turquoise,feiruuzi,فيروزي,colors
bluish green,ginzaari,جنزاري,colors
dark green,zeiti,زيتي,colors
mustard  green,kammuuni,كموني,colors
olive green,zeituuni,زيتوني,colors
pastel green,kurumbi,كرمبي,colors
purple,urjuwaani,ارجواني,colors
scarlet,qrimzi,قرمزي,colors
pink,zahri,زهري,colors
shocking pink,bambi msaxsax,بمبي مسخسخ,colors
rose-colored,wardi,وردي,colors
orange,burtuqaali,برتقالي,colors
canary yellow,kanaari,كناري,colors
lemon yellow,lamuuni,لموني,colors
brown,bunni,بني,colors
light brown,baSali,بصلي,colors
light brown ,3asali,عسلي,colors
wheat-colored ,'amHi,قمحي,colors
fair-skinned,abyaDaani - beiDa,أبيضاني - بيضا,colors
fair-skinneds,biiD,بيض,colors
pale,baahit,باهت,colors
chestnut,kastanaa'i,كستنائي,colors
cream,aSfar šaaHib,أصفر شاحب,colors
grey,ramaadi,رمادي,colors
gold,dahabi,ذهبي,colors
silver,fiDDi,فضي,colors
beige,beiž,بيج,colors
off-white,samni,سمني,colors
burgundy,nibiti,نبتي,colors
maroon,zibiibi,زبيبي,colors
crime ,ijraam,اجرام,crime_and_punishment
crime,jariima,جريمة,crime_and_punishment
crimes,jaraa'im,جرائم,crime_and_punishment
criminal,mujrim,مجرم,crime_and_punishment
criminals,mujrimuun,مجرمون,crime_and_punishment
murderer,saffaaH,سفاح,crime_and_punishment
victim,DaHiyya,ضحية,crime_and_punishment
victims,DaHaaya,ضحايا,crime_and_punishment
prisoner,asiir,أسير,crime_and_punishment
prisoners,asra,أسرى,crime_and_punishment
suspect in,muštaba fi,مشتبه في,crime_and_punishment
accused of,muttaham bi,متهم بـ,crime_and_punishment
involvement in,Dil3,ضلع,crime_and_punishment
involvement ins,Duluu3 fi,ضلوع في,crime_and_punishment
illegal,ġeir qaanuuni,غير قانوني,crime_and_punishment
warrant,mudakkirat tawqiif,مذكرة توقيف,crime_and_punishment
bail,kafaala,كفالة,crime_and_punishment
trial,muHaakama,محاكمة,crime_and_punishment
case,qaDiyya,قضية,crime_and_punishment
cases,qaDaaya,قضايا,crime_and_punishment
court or tribunal,maHkama,محكمة,crime_and_punishment
court or tribunals,maHaakim,محاكم,crime_and_punishment
judge,qaaDin,قاضٍ,crime_and_punishment
judges,quDaah,قضاة,crime_and_punishment
lawyer,muHaamin,محامٍ,crime_and_punishment
lawyers,muHaamiyuun,محاميون,crime_and_punishment
jury,hei'at muHallafiin,هيئة محلفين,crime_and_punishment
juror,muHallaf,محلّف,crime_and_punishment
jurors,muHallafuun,محلّفون,crime_and_punishment
witness,šaahid,شاهد,crime_and_punishment
witnesses,šuhuud,شهود,crime_and_punishment
eyewitness,šaahid 3iyaan,شاهد عيان,crime_and_punishment
prosecution,iddi3aa',ادعاء,crime_and_punishment
defense,difaa3,دفاع,crime_and_punishment
proof,daliil,دليل,crime_and_punishment
proofs,adilla,أدلة,crime_and_punishment
guilty,mudnib,مذنب,crime_and_punishment
guilties,mudnibuun,مذنبون,crime_and_punishment
innocent,bari',برئ,crime_and_punishment
innocents,abriyaa',أبرياء,crime_and_punishment
theft,sariqa,سرقة,crime_and_punishment
robbery,nahb,نهب,crime_and_punishment
burglary of,saTw 3ala,سطو على,crime_and_punishment
drug possession,Hiyaazat muxaddiraat,حيازة مخدرات,crime_and_punishment
drug trade,mutaajarat muxaddiraat,متاجرة مخدرات,crime_and_punishment
smuggling,tahriib,تهريب,crime_and_punishment
rape,iġtiSaab,اغتصاب,crime_and_punishment
murder,qatl,قتل,crime_and_punishment
bribery,irtišaa'/rašwa,ارتشاء | رشوة,crime_and_punishment
embezzlement,ixtilaas,اختلاس,crime_and_punishment
fraud,iHtiyaal,احتيال,crime_and_punishment
blackmail,ibtizaaz,ابتزاز,crime_and_punishment
punishment ,3iqaab,عقاب,crime_and_punishment
 punishment,3uquuba,عقوبة,crime_and_punishment
 punishments,3uquubaat,عقوبات,crime_and_punishment
sentence,Hukm,حكم,crime_and_punishment
sentences,aHkaam 3ala,أحكام على,crime_and_punishment
sentenced to,maHkuum bi,محكوم بـ,crime_and_punishment
fine,ġaraama,غرامة,crime_and_punishment
fines,ġaraamaat,غرامات,crime_and_punishment
prison,sijn,سجن,crime_and_punishment
prisons,sujuun,سجون,crime_and_punishment
prison cell,zinzaana,زنزانة,crime_and_punishment
prison cells,zinzaanaat,زنزانات,crime_and_punishment
imprisonment,Habs,حبس,crime_and_punishment
hanging,šanq,شنق,crime_and_punishment
gallows,mišnaqa,مشنقة,crime_and_punishment
gallows,mašaaniq,مشانق,crime_and_punishment
chained,mukabbal,مكبل,crime_and_punishment
chains,salaasil  silsila,سلاسل    سلسلة,crime_and_punishment
nursery school,HaDaana,حضانة,education
nursery schools,HaDaanaat,حضانات,education
department,qism,قسم,education
departments,aqsaam,اقسام,education
program,barnaamaj,برنامج,education
programs,baraamij,برامج,education
studies,diraasaat,دراسات,education
curriculum,manhaj,منهج,education
curricula,manaahij,مناهج,education
school subject (or material,maadda,مادّة,education
school subject (or materials,mawaadd,موادّ,education
college,kulliyya,كلية,education
colleges,kulliyyaat,كليات,education
institute,ma3had,معهد,education
institutes,ma3aahid,معاهد,education
diploma,šahaada,شهادة,education
with distinction,bimtiyaaz,بامتياز,education
baccalaureate,bakalooriyaa,بكالوريا,education
BA ,?,?,education
BS ,?,?,education
masters',majisteir,ماجستير,education
doctorate,doctooraah,دكتوراه,education
professor,ustaad,أستاذ,education
professors,asaatida,اساتذة,education
teacher,mudarris,مدرّس,education
pupil,tilmiid,تلميذ,education
pupils,talaamiid,تلاميذ,education
student,Taalib,طالب,education
students,Tullaab,طلاب,education
major,taxaSSuS,تخصّص,education
majors,taxaSSuSaat bi,تخصّصات بـ,education
lesson,dars,درس,education
lessons,duruus,دروس,education
homework ,waajib,واجب,education
homework s,waajibaat,واجبات,education
exam,imtiHaan,امتحان,education
exams,imtiHaanaat,امتحانات,education
test,ixtibaar,اختبار,education
tests,ixtibaaraat,اختبارات,education
lecture,muHaaDara,محاضرة,education
discussion,munaaqaša,مناقشة,education
research,abHaat,أبحاث,education
analysis,taHliil,تحليل,education
analyses,taHaaliil,تحاليل,education
 exercise,tamriin,تمرين,education
 exercises,tamaariin/tamriinaat,تمارين | تمرينات,education
 activity,našaaT,نشاط,education
 activities,našaaTaat/anšiTa,نشاطات | أنشطة,education
presentation,taqdiim,تقديم,education
presentations,taqdiimaat,تقديمات,education
textbook,kitaab madrasi,كتاب مدرسي,education
textbooks,kutub madrasiyya,كتب مدرسية,education
grade,Saff,صف,education
grades,Sufuuf,صفوف,education
class,faSl,فصل,education
classes,fuSuul,فصول,education
class period,HiSSa,حصّة,education
class periods,HiSaS,حصص,education
recess,ajaaza,اجازة,education
recesses,ajaazaat,اجازات,education
scholarship,minHa,منحة,education
scholarships,minaH,منح,education
financial aid,musaa3adaat maaliyya,مساعدات مالية,education
student loan,qarD diraasii,قرض دراسي,education
student loans,quruuD diraasiyya,قروض دراسية,education
cost,kulfa,كلفة,education
costs,kulaf,كلف,education
funding,tamwiil,تمويل,education
notebook,daftar,دفتر,education
notebooks,dafaatir,دفاتر,education
 notebook,kaškuul,كشكول,education
 notebooks,kašakiil,كشاكيل,education
pen,qalam,قلم,education
pens,aqlaam,أقلام,education
pencil,qalam raSaaS,قلم رصاص,education
paper,waraqa,ورقة,education
papers,awraaq,أوراق,education
eraser,mimHaah,ممحاة,education
erasers,asatiik,أساتيك,education
blackboard,sabbuura,سبورة,education
blackboards,sabbuuraat,سبورات,education
chalk,Tabaašiir,طباشير,education
calculator,aala Haasiba,آلة حاسبة,education
calculators,aalaat Haasiba,آلات حاسبة,education
 ruler,misTara,مسطرة,education
 rulers,masaaTir,مساطر,education
encyclopedia,mawsuu3a,موسوعة,education
encyclopedias,mawsuu3aat,موسوعات,education
dictionary,qaamuus,قاموس,education
dictionaries,qawaamiis,قواميس,education
grade,daraja,درجة,education
grades,darajaat,درجات,education
good grades,darajaat 3aaliya,درجات عالية,education
right,SaHH,صح,education
wrong,xaTa',خطأ,education
__ plus __ is __,__ zaa'id __ yusaawi __,__ زائد __ يساوي __,education
__ minus __ is __,__ naaqiS __ yusaawi __,__ ناقص __ يساوي __,education
__ times __ is __,__ fi __ yusaawi __,__ في __ يساوي __,education
__  by __ is __,__ 3ala __ yusaawi __,__ على __ يساوي __,education
equation,mu3aadala,معادلة,education
equations,mu3aadalaat,معادلات,education
fraction,kasr,كسر,education
fractions,kusuur,كسور,education
 problem,mas'ala,مسألة,education
 problems,masaa'il,مسائل,education
shape,šakl,شكل,education
shapes,aškaal,أشكال,education
circle,daa'ira,دائرة,education
circles,dawaa'ir,دوائر,education
square,murabba3,مربع,education
squares,murabba3aat,مربعات,education
rectangle,mustaTiil,مستطيل,education
rectangles,mustaTiilaat,مستطيلات,education
triangle,mutallat,مثلث,education
triangles,mutallataat,مثلثات,education
side,Dil3,ضلع,education
sides,Duluu3,ضلوع,education
angle,zaawiya,زاوية,education
angles,zawaaya,زوايا,education
