english,transliteration,arabic
anniversary; memories,dikrayaat,ذكريات
economy,iqtiSaad,اقتصاد
trade,tijaara,تجارة
unemployment,baTaala,بطالة
export,Saadir,صادر
exports,Saadiraat,صادرات
import,mustawrad,مستورد
imports,mustawradaat,مستوردات
resource,mawrid,مورد
resources,mawaarid,موارد
supply,tawriid,توريد
market,suuq,سوق
markets,aswaaq,أسواق
stock market,borSa,بورصة
price,si3r,سعر
prices,as3aar,أسعار
currency,3umla,عملة
share,sahm,سهم
shares,ashum,أسهم
bond,sanad,سند
bonds,sanadaat,سندات
profit,ribH,ربح
profits,arbaaH,أرباح
budget,miizaaniyya,ميزانية
industry,Sinaa3a,صناعة
industries,Sinaa3aat,صناعات
products,muntajaat,منتجات
goods,baDaa'i3  biDaa3a,بضائع  بضاعة
commodities,sil3a  sila3,سلعة    سلع
monopoly,iHtikaar,احتكار
rise in prices,ġalaa',غلاء
inflation,taDaxxum,تضخم
consumption,istihlaak,استهلاك
surplus,faa'iD,فائض
average,mu3addal,معدل
tax,Dariiba,ضريبة
taxes,Daraa'ib,ضرائب
cost,takliif,تكليف
costs,takaaliif,تكاليف
expenditure,infaaq,انفاق
prosperity,raxaa',رخاء
recession,kasaad,كساد
GDP,naatij maHalli ijmaali,ناتج محلي اجمالي
