english,transliteration,arabic
positions,mawaaqif,مواقف
operation; process,3amaliyya,عملية
operation; processes,3amaliyyaat,عمليات
pressure on,DaġT,ضغط
pressure ons,DuġuuT 3ala,ضغوط على
sudden,mufaaji',مفاجئ
legitimate,mašruu3,مشروع
borders ,Huduud  Hadd,حدود    حدّ
wall,suur,سور
walls,aswaar,أسوار
letter,risaala,رسالة
letters,rasaa'il,رسائل
content,maDmuun,مضمون
contents,maDaamiin,مضامين
element ,3unSur,عنصر
element s,3anaaSir,عناصر
gang,3iSaaba,عصابة
gangs,3iSaabaat,عصابات
activist,naašiT,ناشط
activists,naašiTuun,ناشطون
volunteer,mutaTawwi3,متطوع
volunteers,mutaTawwi3a,متطوعة
charity (as a concept,xayriyya,خيرية
hiding place,maxba',مخبأ
hiding places,maxaabi',مخابئ
unknown,majhuul,مجهول
alert,istinfaar,استنفار
chain,silsila,سلسلة
chains,salaasil,سلاسل
source,maSdar,مصدر
sources,maSaadir,مصادر
personal,šaxSi,شخصي
area,saaHa,ساحة
areas,saaHaat,ساحات
framework,iTaar,اطار
frameworks,iTaaraat,اطارات
patrol,dawra,دورة
patrols,dawriyaat,دوريات
extensive,muwassa3,موسع
wide,waasi3,واسع
level,mustawa,مستوى
levels,mustawayaat,مستويات
guaranteeing,kafiil bi,كفيل بـ
character or stamp,Taabi3,طابع
character or stamps,Tawaabi3,طوابع
size,Hajm,حجم
sizes,aHjaam,أحجام
amount,HaSiila,حصيلة
amounts,HaSaa'il,حصائل
coming from,qaadiman min,قادما من
going to,mutawajjihan ila,متوجها إلى
extraordinary,istitnaa'i,استثنائي
influence,ta'tiir 3ala,تأثير على
checkpoint,nuqTat taftiiš,نقطة تفتيش
settlement,mustawTina,مستوطنة
settlements,mustawTinaat,مستوطنات
refugee,laaji',لاجئ
refugees,laaji'uun,لاجئون
camp,muxayyam,مخيم
camps,muxayyamaat,مخيمات
total,ijmaali,اجمالي
certainty,tiqqa,ثقة
doubt,šakk,شك
doubts,šukuuk,شكوك
offer,3arD,عرض
offers,3uruuD,عروض
colonialism,isti3maar,استعمار
entity,kiyaan,كيان
renaissance,nahDa,نهضة
trend,tayyaar,تيار
trends,tayyaaraat,تيارات
ideological,3aqaa'idi,عقائدي
complementing,mukammil,مكمّل
aiming at,raami ila,رامي إلى
wealth,tarwa,ثروة
wealth,tarawaat,ثروات
effective,fa33aal,فعال
useful,mufiid,مفيد
flag,3alam,علم
flags,a3laam,أعلام
flag,raaya,راية
flags,raayaat,رايات
term ,fitra,فترة
term s,fitaraat,فترات
term  or state,wilaaya,ولاية
term  or states,wilaayaat,ولايات
oil,nafT,نفط
crude ,xaam,خام
blaze,Hariiq,حريق
fire,naar,نار
misunderstanding,suu' tafaahum,سوء تفاهم
through,3abr,عبر
by means of,min Tariiq,من طريق
almost,naHw,نحو
resulting from,jarraa',جراء
in order to,min ajl,من أجل
during,xilaal,خلال
in the period of...,ibbaan,إبان
while,fiima,فيما
since,mundu,منذ
at,lada,لدى
within ,fi ġuDuun,في غضون
until or in order to,Hatta,حتى
immediately,fawran,فورا
recently,mu'axxiran,مؤخرا
previous,saabiq,سابق
next,qaadim,قادم
shortly before,qabiil,قبيل
as a prelude to,tamhiidan li,تمهيدا لـ
imminent,murtaqab,مرتقب
after,fi a3qaab,في أعقاب
immediately after,itra,إثر
later on,laaHiqan,لاحقا
accordingly,muqaabil daalik,مقابل ذلك
aside from,faDlan 3an,فضلا عن
either/whether __ or __,sawaa' __ am __,سواء __ أم __
in view of; with respect to,min Haytu ,من حيث 
where,Haytu,حيث
 when,Hiin,حين
considering,fi Doo',في ضوء
considering ,3ala i3tibaar anna,على اعتبار أن
especially,xaaSSatan,خاصة
sooner or later,3aajilan am aajlan,عاجل أم آجلا
on another hand,min jiha uxra,من جهة أخرى
