english,transliteration,arabic
resolution s,qaraaraat,قرارات
session,jalsa,جلسة
sessions,jalasaat,جلسات
Doctors Without Borders,munaZZamat aTibaa' bilaa Huduud,منظمة أطباء بلا حدود
Hezbollah,Hizb allaah,حزب الله
administration,idaara,ادارة
administrations,idaaraat,ادارات
govt. agency or authority,hei'a,هيئة
govt. agency or authorities,hei'aat Hukuumiyya,هيئات حكومية
intelligence,muxaabaraat,مخابرات
ministry,wizaara,وزارة
ministries,wizaaraat,وزارات
election,intixaab,انتخاب
elections,intixaabaat,انتخابات
campaign,Hamla,حملة
campaigns,Hamalaat,حملات
candidate,muraššaH,مرشح
candidates,muraššaHHuun,مرشحون
competitor,munaafis,منافس
competitors,munaafisuun,منافسون
voter,naaxib,ناخب
voters,naaxibuun,ناخبون
clean,naziih,نزيه
transparency,šaffaafiyya,شفافية
contribution,musaahama,مساهمة
contributions,musaahamaat,مساهمات
referendum,istiftaa',استفتاء
referendums,istiftaa'aat,استفتاءات
propaganda,da3aaya,دعاية
slogan,ša3aar,شعار
slogans,ša3aaraat,شعارات
empty slogan,ša3aar ajwaf,شعار أجوف
debate,munaaZara,مناظرة
debates,munaaZaraat,مناظرات
vote ,Soot,صوت
vote s,aSwaat,أصوات
poll,istiTlaa3,استطلاع
polls,istiTlaa3aat,استطلاعات
opinion,ra'i,رأي
opinions,aaraa',آراء
analysis,taHliil,تحليل
statistics,iHSaa'aat,احصاءات
result,natiija,نتيجة
results,nataa'ij,نتائج
half,naSf,نصف
percentage,nisba,نسبة
percentages,nisab,نسب
majority,aġlabiyya/aktariyya,أغلبية | أكثرية
with ,ma3a,مع
against,Didd,ضد
issue,qaDiyya,قضية
issues,qaDaaya,قضايا
affair,ša'n,شأن
affairs,šu'uun,شؤون
law,qaanuun,قانون
laws,qawaaniin,قوانين
policy,siyaasa,سياسة
policies,siyaasaat,سياسات
restrictions ,quyuud 3ala,قيود على
reform,iSlaaH,اصلاح
reforms,iSlaaHaat,اصلاحات
controversy ,jadal Hawla,جدل حول
scandal,faDiiHa,فضيحة
scandals,faDaa'iH,فضائح
negligence,ihmaal,اهمال
theft,sariqa,سرقة
swindling,naSb,نصب
bribery,irtišaa'/rašwa,ارتشاء | رشوة
embezzlement,ixtilaas,اختلاس
fraud,iHtiyaal,احتيال
blackmail,ibtizaaz,ابتزاز
favoritism,muHaabaah,محاباة
nepotism,maHsuubiyya,محسوبية
connections,waasTa,واسطة
security,amn,أمن
safety,salaama,سلامة
peace,salaam,سلام
stability,istiqraar,استقرار
protection,Himaaya,حماية
unity,waHda,وحدة
equality,musaawaah,مساواة
independence,istiqlaal,استقلال
sovereignty,siyaada,سيادة
justice,3adl/3adaala,عدل/عدالة
tolerance,tasaamuH,تسامح
coexistence,ta3aayuš,تعايش
pluralism,ta3addud,تعدد/تعددية
diversity,tanawwu3,تنوّع
freedom,Hurriyya,حرية
dignity,karaama,كرامة
conscience,Damiir,ضمير
principle,mabda',مبدأ
principles,mabaadi',مبادئ
morals,axlaaq  xulq,أخلاق    خلق
standard,mi3yaar,معيار
standards,ma3aayiir,معايير
right,Haqq,حق
rights,Huquuq,حقوق
oppression,Zulm,ظلم
persecution,iDTihaad,اضطهاد
repression,qam3,قمع
tyranny,istibdaad,استبداد
prejudice,taHayyuz,تحيّز
discrimination,tamyiiz,تمييز
racism,3unSuriyya,عنصرية
torture,ta3diib,تعذيب
massacre,madbaHa,مذبحة
massacres,madaabiH,مذابح
genocide,ibaada ,ابادة 
ethnic cleansing,taThiir 3irqi,تطهير عرقي
honor crime,jariimat šaraf,جريمة
honor crimes,jaraa'im šaraf,جرائم شرف
rape,iġtiSaab,اغتصاب
prostitution,da3aara,دعارة
slavery,3ubuudiyya,عبودية
