english,transliteration,arabic
poems,'aSaayid,قصائد
stanza,maqtuu3a,مقطوعة
stanzas,maqTuu3aat,مقطوعات
verse,bait,بيت
verses,abyaat,أبيات
collection of poetry,diiwaan,ديوان
collection of poetries,dawaawiin,دواوين
poet,šaa3ir,شاعر
poets,šu3araa',شعراء
complete works,a3maal kaamila,أعمال كاملة
play,masraHiyya,مسرحية
plays,masraHiyyaat,مسرحيات
theater,masraH,مسرح
theaters,masaariH,مسارح
act,faSl,فصل
acts,fuSuul,فصول
scene,mašhad,مشهد
scenes,mašaahid,مشاهد
television,televizyoon,تلفزيون
televisions,televizyoonaat,تلفزيونات
program,barnaamag,برنامج
programs,baraamig,برامج
TV show,musalsal,مسلسل
TV shows,musalsalaat,مسلسلات
episode,Hal'a,حلقة
episodes,Hal'aat,حلقات
report,taqriir,تقرير
reports,taqaariir,تقارير
network,šabaka,شبكة
networks,šabakaat,شبكات
channel,qanaah,قناة
channels,qanaawaat,قناوات
satellite channels,faDaa'iyaat,فضائيات
advertisement ,i3laan,إعلان
advertisement s,i3laanaat,إعلانات
host,muqaddim,مقدّم
correspondent,muraasil,مراسل
broadcaster,muzii3,مذيع
live ,mubaašir,مباشر
breaking news,axbaar 3aagila,أخبار عاجلة
coming up,ba3d šiwayya,بعد شوية
newspaper,gariida,جريدة
newspapers,garaayid,جرائد
magazine,magalla,مجلة
magazines,magallaat,مجلات
issue ,3adad,عدد
issue s,a3daad,أعداد
journalism,SiHaafa,صحافة
editor,ra'iis taHriir,رئيس تحرير
journalist,SuHufi,صحفي
photographer,muSawwaraati,مصوراتي
photographers,muSawwaraatiyya,مصوراتية
photography,taSwiir,تصوير
picture,Suura,صورة
pictures,Suwar,صور
camera,kamira,كاميرا
cameras,kamiraat,كاميرات
interview,mu'abla,مقابلة
article,maqaala,مقالة
articles,maqaalaat,مقالات
column,3amuud,عمود
columns,a3mida,أعمدة
classified ads,i3laanaat mubawwaba,إعلانات مبوبة
