english,transliteration,arabic,audioUrl,source
clean,niɖīf (nuɖāf),نِضيف (نُضاف),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-22.mp3,adjectives
dirty,wísix,وِسِخ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-23.mp3,adjectives
heavy,tiʔīl,تِقيل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-24.mp3,adjectives
light,xafīf (xufāf),خفيف (خُفاف),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-25.mp3,adjectives
ready,gāhiz,جاهِز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-26.mp3,adjectives
Are you ready yet?,ʔínta gāhiz?,إنْتَ جاهِز؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-27.mp3,adjectives
I’m ready!,ʔána gāhiz!,أنا جاهِز!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-28.mp3,adjectives
right (person),ȿaɧɧ [invar.],صحّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-29.mp3,adjectives
right (person),3ándu ɧaʔʔ,عنْدُه حقّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-30.mp3,adjectives
"Yes, you’re right!","ʔáywa, ʔínta ȿaɧɧ!",أَيْوَة،  إنْتَ صحّ!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-31.mp3,adjectives
wrong (person),ɣalʈān,غلْطان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-32.mp3,adjectives
I think you’re wrong (about that).,ʔa3táqid ʔínnak ɣalʈān.,أعْتقِد إنّك غلْطان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-33.mp3,adjectives
slow,baʈīʔ (buʈāʔ),بطيء (بُطاء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-34.mp3,adjectives
"fast, quick",sarī3 (surā3),سريع (سُراع),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-35.mp3,adjectives
hot,suxn,سُخْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-36.mp3,adjectives
warm,dāfi,دافي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-37.mp3,adjectives
"cool, cold",sāʔi3,ساقِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-38.mp3,adjectives
famous,mašhūr,مشْهور,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-39.mp3,adjectives
independent,mustaqíll,مُسْتقِلّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-40.mp3,adjectives
busy,mašɣūl,مشْغول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-41.mp3,adjectives
"empty; available, free (person)",fāɖi,فاضي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-42.mp3,adjectives
Are you free tomorrow?,ʔínta fāɖi búkra?,إنْتَ فاضي بُكْره؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-43.mp3,adjectives
full,malyān,ملْيان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-44.mp3,adjectives
useful,mufīd,مُفيد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-45.mp3,adjectives
useless,ma-lūš lázma,ملوش لازْمة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-46.mp3,adjectives
useless,min ɣēr fáyda,مِن غيْر فايْدة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-47.mp3,adjectives
"careful, cautious",ɧarīȿ (ɧuraȿāʔ),حريص (حُرصاء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-48.mp3,adjectives
"careful, cautious",bi-htimām,بِاهْتِمام,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-49.mp3,adjectives
careless,múhmil,مُهْمِل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-50.mp3,adjectives
absent-minded,sarɧān,سرْحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-51.mp3,adjectives
open,maftūɧ,مفْتوح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-52.mp3,adjectives
closed,maʔfūl,مقْفول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-53.mp3,adjectives
wet,mablūl,مبْلول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-54.mp3,adjectives
dry,nāšif,ناشِف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-55.mp3,adjectives
quiet,hādi,هادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-56.mp3,adjectives
noisy,múz3ig,مُزْعِج,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-57.mp3,adjectives
rough,xíšin,خِشِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-58.mp3,adjectives
smooth,nā3im,ناعِم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-59.mp3,adjectives
narrow; tight,ɖáyyaʔ,ضيّق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-60.mp3,adjectives
wide; loose,wāsi3,واسِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-61.mp3,adjectives
dark,ɖílim,ضِلْم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-62.mp3,adjectives
dark,miɖállim,مِضلِّم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-63.mp3,adjectives
"bright, light",mináwwar,مِنوّر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-64.mp3,adjectives
sharp,ɧādd,حادّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-65.mp3,adjectives
blunt,miš ɧādd,مِش حادّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-66.mp3,adjectives
additional,ʔiɖāfi,إضافي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-67.mp3,adjectives
the same __,nafs il__,نفْس الـ__,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-68.mp3,adjectives
similar,mušābih,مُشابِهْ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-69.mp3,adjectives
different,muxtálif,مُخْتلِف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-70.mp3,adjectives
possible,múmkin,مُمْكِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-71.mp3,adjectives
impossible,mustaɧīl,مُسْتحيل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-72.mp3,adjectives
"probable, likely",muɧtámal,مُحْتمل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-73.mp3,adjectives
slowly,bi-rrāɧa,بِالرّاحة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-1.mp3,adverbs
"fast, quickly",bi-súr3a,بِسُرْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-2.mp3,adverbs
especially,xuȿūȿan,خُصوصاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-3.mp3,adverbs
at least,3ála -lʔaʔáll,على الأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-4.mp3,adverbs
"almost, nearly, around, about",taʔrīban,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-5.mp3,adverbs
again,tāni,تاني,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-6.mp3,adverbs
alone,li-wáɧdu,لِوَحْدُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-7.mp3,adverbs
"also, too, as well",bárɖu,برْضُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-8.mp3,adverbs
here,hína,هِنا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-9.mp3,adverbs
there,hināk,هِناك,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-10.mp3,adverbs
everywhere,fī kullə makān,في كُلّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-11.mp3,adverbs
I see him everywhere.,ʔána bašūfu fi kullə makān.,أنا بشوفُه في كُلّ مكان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-12.mp3,adverbs
somewhere,ɧítta,حِتّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-13.mp3,adverbs
somewhere,makān,مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-14.mp3,adverbs
I want to go somewhere fun.,3āyiz ʔarūɧ ɧítta mumtí3a.,عايِز أروح حِتّة مُمْتِعة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-15.mp3,adverbs
anywhere,ʔayyə makān,أيّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-16.mp3,adverbs
You can buy it anywhere.,múmkin tištirī min ʔayyə makān.,مُمْكِن تِشْتِرية مِن أيّ مكان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-17.mp3,adverbs
nowhere,ma-fīš makān,مفيش مكان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-18.mp3,adverbs
Nowhere is safe.,ma-fīš makān ʔamān.,مفيش مكان أمان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-19.mp3,adverbs
always,dáyman,دايْماً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-20.mp3,adverbs
always,3ála ʈūl,على طول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-21.mp3,adverbs
She always does her homework.,híyya 3ála ʈūl bití3mil ilwāgib.,هِيَّ على طول بِتِعْمِل الواجِب.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-22.mp3,adverbs
sometime,fi márra,في مرّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-23.mp3,adverbs
Let’s have coffee sometime.,ma tīgi níšrab ʔáhwa f- márra.,ما تيجي نِشْرب قهْوَة في مرّة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-24.mp3,adverbs
sometimes,ʔaɧyānan,أحْياناً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-25.mp3,adverbs
sometimes,sa3āt,ساعات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-26.mp3,adverbs
I sometimes get up late.,ʔána sa3āt báȿɧa mitʔáxxar.,أنا سعات بصْحى مِتْأخّر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-27.mp3,adverbs
anytime,ʔayyə waʔt,أيّ وَقْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-28.mp3,adverbs
You can call me anytime.,múmkin tikallímni fi ʔayyə waʔt.,مُمْكِن تِكلِّمْني في أيّ وَقْت.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-29.mp3,adverbs
never,3úmru ma-,عُمْرُه ما,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-30.mp3,adverbs
I never eat breakfast.,3úmri ma báfʈar.,عُمْري ما بفْطر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-31.mp3,adverbs
They’ve never been out of Egypt.,3umrúhum ma sáfru bárra maȿr.,عُمْرُهُم ما سافْروا برّه مصْر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-32.mp3,adverbs
usually,3ādatan,عادةً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-33.mp3,adverbs
usually,fi -l3ādi,في العادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-34.mp3,adverbs
usually,3umūman,عُموماً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-35.mp3,adverbs
"I usually go to work by car, but I sometimes walk.","ʔána 3ādatan barūɧ iššúɣlə bi-l3arabíyya, bass ʔaɧyānan bámši.",أنا عادةً بروح الشُّغْل بِالعربية، بسّ أحْياناً بمْشي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-36.mp3,adverbs
often,kitīr,كِتير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-37.mp3,adverbs
often,ɣālíban,غالِبا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-38.mp3,adverbs
I often see him at the café.,ʔána bašūfu ktīr fi -lʔáhwa.,أنا بشوفُه كِتير في القهْوُه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-39.mp3,adverbs
somehow,ma-3ráfš izzāy,معْرفْش إزّايْ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-40.mp3,adverbs
The cat somehow got in the house.,ma-3ráfš izzāy ilʔúʈʈa dáxalit ilbēt.,معْرفْش إزّايْ القُطّة دخلِت البيْت.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-41.mp3,adverbs
very,ʔáwi,أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-42.mp3,adverbs
very,gíddan,جِدّاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-43.mp3,adverbs
very,xāliȿ,خالِص,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-44.mp3,adverbs
very good,kuwáyyis gíddan,كُوَيِّس جِدّاً,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-45.mp3,adverbs
__ enough,kifāya,كِفايَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-46.mp3,adverbs
big enough,kibīr kifāya,كِبير كِفايَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-47.mp3,adverbs
too __,__ ʔáwi,__ أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-48.mp3,adverbs
too big,kibīr ʔáwi,كِبير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-49.mp3,adverbs
"too much, too many",kitīr ʔáwi,كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-50.mp3,adverbs
too much money,filūs kitīr ʔáwi,فِلوس كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-51.mp3,adverbs
too many people,nās kitīr ʔáwi,ناس كِتير أَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-52.mp3,adverbs
well,kuwáyyis,كُوَيِّس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-53.mp3,adverbs
She speaks Arabic well.,híyya btitkállim 3árabi kwáyyis.,هِيَّ بِتِتْكلِّم عربي كْوَيِّس.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-54.mp3,adverbs
still,líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-55.mp3,adverbs
I’m still hungry.,ʔána líssa ga3ān.,أنا لِسّه جعان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-56.mp3,adverbs
not… yet,li-ɧáddə dilwáʔti,لِحدّ دِلْوَقْتي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-57.mp3,adverbs
not… yet,líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-58.mp3,adverbs
Isn’t he here yet?,húwwa líssa ma-gāš li-ɧáddə dilwáʔti?,هُوَّ لِسّه مجاش لِحدّ دِلْوَقْتي؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-59.mp3,adverbs
I haven’t finished my coffee yet.,ma-xalláȿtiš ʔahwíti li-ɧáddə dilwáʔti.,مخلّصْتِش قَهْوِتي لِحدّ دِلْوَقْتي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-60.mp3,adverbs
I haven’t finished my coffee yet.,ʔána líssa ma-xalláȿtiš ʔahwíti.,أنا لِسّه مخلّصْتِش قَهْوِتي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-61.mp3,adverbs
already,xalāȿ,خلاص,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-62.mp3,adverbs
I already told you!,ʔána ʔultílak xalāȿ!,أنا قُلْتِلك خلاص!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-63.mp3,adverbs
I’ve already eaten lunch.,ʔána -tɣaddēt xalāȿ!,أنا اتْغدّيْت خلاص.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-64.mp3,adverbs
just (now),líssa,لِسّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-65.mp3,adverbs
just (now),yadōb,يادوْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-66.mp3,adverbs
I just ate.,ʔána líssa wākil.,أنا لِسّه واكِل.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-67.mp3,adverbs
I just told you!,ʔána líssa yadōb ʔáylak.,أنا لِسّه يادوْب قايْلك!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-68.mp3,adverbs
inside,gúwwa,جُوّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-69.mp3,adverbs
It’s hot today. Let’s stay inside.,iddúnya ɧarr innahárda. xallīna gúwwa ʔáɧsan.,الدُّنْيا حرّ النّهارْده.  خلّينا جُوّه أحْسن.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-70.mp3,adverbs
outside,bárra,برّه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-71.mp3,adverbs
Let’s sit outside.,yálla núʔ3ud bárra.,يَلّا نُقْعُد برّه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-72.mp3,adverbs
"abroad, overseas",bárra (-lbálad),برّه (البلد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-73.mp3,adverbs
Does he live abroad?,húwwa 3āyiš bárra -lbálad?,هُوَّ عايِش برّه البلد؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-74.mp3,adverbs
I’m going abroad next week.,ʔána msāfir bárra -lʔisbū3 ilgáyy.,أنا مْسافِر برّه الإسْبوع الجايّ.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-75.mp3,adverbs
upstairs,fōʔ,فوْق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-76.mp3,adverbs
Come upstairs!,ʔíʈla3 fōʔ!,اِطْلع فوْق!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-77.mp3,adverbs
downstairs,taɧt,تحْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav53-78.mp3,adverbs
English,Transliteration,Egyptian Arabic,,animals
animal,Hayawaan,حيوان,,animals
animals,Hayawaanaat,حيوانات,,animals
cat,'oTTa,قطّة,,animals
cats,'oTaT,قطط,,animals
dog,kalb,كلب,,animals
dogs,kilaab,كلاب,,animals
cow,ba'ara,بقرة,,animals
cows,ba'ar,بقرات,,animals
bull,toor,تور,,animals
bulls,tiraan,تران,,animals
calf,3igl,عجل,,animals
calves,3uguul,عجول,,animals
buffalo,gamuus,جاموس,,animals
buffalo,gawamiis,جواميس,,animals
cattle,bihiima,بهيمة,,animals
cattles,bahaayim,بهايم,,animals
sheep,ġanam,غنم,,animals
sheep,ġanamaat,غنمات,,animals
lamb,xaruuf,خروف,,animals
lambs,xirfaan,خرفان,,animals
donkey,Homaar,حمار,,animals
donkeys,Himiir,حمير,,animals
horse,HiSaan,حصان,,animals
horses,HiSina,حصنة,,animals
camel,gamal,جمل,,animals
camels,gimaal,جمال,,animals
goat,mi3za,معزة,,animals
goats,mi3iiz,معيز,,animals
pig,xanziir,خنزير,,animals
pigs,xanaziir,خنازير,,animals
rabbit,arnab,أرنب,,animals
rabbits,araanib,ارانب,,animals
mice,faar,فار,,animals
mice,firaan,فران,,animals
rat,faar,فار,,animals
rats,firaan,فران,,animals
bird,Teir,طير,,animals
birds,Tuyuur,طيور,,animals
small bird,3aSfuura,عصفورة,,animals
small birds,3aSafiir,عصافير,,animals
parrot,baġbaġaan,بغبغان,,animals
parrots,baġbaġaanaat,بغبغانات,,animals
rooster,diik,ديك,,animals
roosters,duyuuk,ديوك,,animals
turkey,diik ruumi,ديك رومي,,animals
peacock,Tawuus,طووس,,animals
peacocks,Tawawiis,طوويس,,animals
stork,la'la',لقلق,,animals
storks,la'aali',لقالق,,animals
sparrow,3aSfuur,عصفور,,animals
sparrows,3aSafiir,عصافير,,animals
crow,ġuraab,غراب,,animals
crows,ġirbaan,غربان,,animals
nightingale,bulbul,بلبل,,animals
nightingales,balaabil,بلابل,,animals
falcon,Sa'r,صقر,,animals
falcons,Su'uur,صقور,,animals
eagle,nisr,نسر,,animals
eagles,nusuur,نسور,,animals
reptile,zaaHif,زاحف,,animals
reptiles,zawaaHif,زواحف,,animals
amphibian,barmaa'iyya,برمائية,,animals
amphibians,barmaa'iyyaat,برمائيات,,animals
snake,ti3baan,تعبان,,animals
snakes,ta3abiin,تعبين,,animals
Sarahan horned viper,Tureiša,طريشة,,animals
turtle,sulHifa,سلحفة,,animals
turtles,salaaHif,سلاحف,,animals
lizard,siHliyya,سحلية,,animals
lizards,saHaali,سحالي,,animals
frog,DufDa3a,ضفضعة,,animals
frogs,Dafaadi3,ضفاضع,,animals
crocodile,timsaaH,تمساح,,animals
crocodiles,tamasiiH,تماسيح,,animals
snail,qawqa3a,قوقعة,,animals
snails,qawaaqi3,قواقع,,animals
lion,asad,أسد,,animals
lions,usuud,اسود,,animals
giraffe,zaraafa,زرافة,,animals
giraffes,zaraafaat,زرافات,,animals
zebra,Homaar waHši,حمار وحشي,,animals
kangaroo,kongor,كنجر,,animals
hyena,Dab3,ضبع,,animals
hyenas,Dubu3a,ضبعة,,animals
panther,fahd,فهد,,animals
panthers,fuhuud,فهود,,animals
wolf,diib,ديب,,animals
wolves,diyaab,دياب,,animals
bear,dibba,دبّة,,animals
bears,dibab,دبب,,animals
tiger,nimr,نمر,,animals
tigers,nimuur,نمور,,animals
elephant,fiil,فيل,,animals
elephants,afyaal,أفيال,,animals
monkey,'ird,قرد,,animals
monkeys,'uruud,قرود,,animals
bat,wuTwaaT,وطواط,,animals
bats,waTawiiT,وطاويط,,animals
squirrel,singaab,سنجاب,,animals
fox,ta3lab,تعلب,,animals
foxes,ta3aalib,تعالب,,animals
deer,ġazaal,غزال,,animals
deer,ġizlaan,غزلان,,animals
fish,samak,سمك,,animals
fish,asmaak,أسماك,,animals
whale,Huut,حوت,,animals
whales,Hitaan,حيتان,,animals
shark,samak il-'irš,سمك القرش,,animals
dolphin,darfiil,درفيل,,animals
dolphins,darafiil,درافيل,,animals
octopus,uxTubuuT,أخطبوط,,animals
octopuses,uxTubuTaat,اخطبوطات,,animals
squid,tutya,توتيا,,animals
swordfish,abu seif,أبو سيف,,animals
shrimp,gambari,جمبري,,animals
lobster,istakooza,استاكوزا,,animals
crab,kaburya/abu galambo,كابوريا \ أبو جلمبو,,animals
crabs,saraTaanaat,سرطانات,,animals
walrus,fiil il-baHr,فيل البحر,,animals
walruses,afZaaZ,أفظاظ,,animals
salmon,salamun,سالمون,,animals
catfish,'armuuT,قرموط,,animals
catfish,'aramiiT,قراميط,,animals
tuna,tuuna,تونا,,animals
oysters,gandofli,جندوفلي,,animals
insect,Hašara,حشرة,,animals
insects,Hašaraat,حشرات,,animals
cockroach,SurSaar,صرصار,,animals
cockroaches,SaraSiir,صراصير,,animals
flea,barġuut,برغوت,,animals
fleas,baraġiit,براغيت,,animals
beetle,xunfisa,خنفساء,,animals
beetles,xanaafis,خنافس,,animals
wasp,dabbuur,دبّور,,animals
wasps,dabaabiir,دبابير,,animals
spider,3ankabuut,عنكبوت,,animals
spiders,3anaakib,عناكب,,animals
scorpion,3a'raba,عقربة,,animals
scorpions,3a'aarib,عقارب,,animals
tail,deil,ديل,,animals
tails,duyuul,ديول,,animals
hoof,Haafir,حافر,,animals
hooves,Hawaafir,حوافر,,animals
claw,xarbuuš,خربوش,,animals
claws,xarabiiš,خرابيش,,animals
fur,farwa,فروة,,animals
furs,faraawi,فراوي,,animals
beak,mun'aar,منقار,,animals
beaks,mana'iir,مناقير,,animals
wing,ginaaH,جناح,,animals
wings,ginaaHaat/giniHa,جناحات | جنحة,,animals
fin,za3nifa,زعنفة,,animals
fins,za3aanif,زعانف,,animals
house,bēt (byūt),بيْت (بْيوت),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-1.mp3,around_the_house
apartment,šíʔʔa (šíʔaʔ),شِقّة (شِقق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-2.mp3,around_the_house
two-story apartment,vílla (vílal),فيلّا (فِلل),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-3.mp3,around_the_house
