English,Standard Arabic,Transliteration
within ,في غضون,fi ġuDuun
until or in order to,حتى,Hatta
immediately,فورا,fawran
recently,مؤخرا,mu'axxiran
previous,سابق,saabiq
next,قادم,qaadim
shortly before,قبيل,qabiil
as a prelude to,تمهيدا لـ,tamhiidan li
imminent,مرتقب,murtaqab
after,في أعقاب,fi a3qaab
immediately after,إثر,itra
later on,لاحقا,laaHiqan
accordingly,مقابل ذلك,muqaabil daalik
aside from,فضلا عن,faDlan 3an
either/whether __ or __,سواء __ أم __,sawaa' __ am __
in view of; with respect to,من حيث ,min Haytu 
where,حيث,Haytu
 when,حين,Hiin
considering,في ضوء,fi Doo'
considering ,على اعتبار أن,3ala i3tibaar anna
especially,خاصة,xaaSSatan
sooner or later,عاجل أم آجلا,3aajilan am aajlan
on another hand,من جهة أخرى,min jiha uxra
