English,Egyptian Arabic,Transliteration
bears,دبب,dibab
tiger,نمر,nimr
tigers,نمور,nimuur
elephant,فيل,fiil
elephants,أفيال,afyaal
monkey,قرد,'ird
monkeys,قرود,'uruud
bat,وطواط,wuTwaaT
bats,وطاويط,waTawiiT
squirrel,سنجاب,singaab
fox,تعلب,ta3lab
foxes,تعالب,ta3aalib
deer,غزال,ġazaal
deer,غزلان,ġizlaan
fish,سمك,samak
fish,أسماك,asmaak
whale,حوت,Huut
whales,حيتان,Hitaan
shark,سمك القرش,samak il-'irš
dolphin,درفيل,darfiil
dolphins,درافيل,darafiil
octopus,أخطبوط,uxTubuuT
octopuses,اخطبوطات,uxTubuTaat
squid,توتيا,tutya
swordfish,أبو سيف,abu seif
shrimp,جمبري,gambari
lobster,استاكوزا,istakooza
crab,كابوريا \ أبو جلمبو,kaburya/abu galambo
crabs,سرطانات,saraTaanaat
walrus,فيل البحر,fiil il-baHr
walruses,أفظاظ,afZaaZ
salmon,سالمون,salamun
catfish,قرموط,'armuuT
catfish,قراميط,'aramiiT
tuna,تونا,tuuna
oysters,جندوفلي,gandofli
insect,حشرة,Hašara
insects,حشرات,Hašaraat
cockroach,صرصار,SurSaar
cockroaches,صراصير,SaraSiir
flea,برغوت,barġuut
fleas,براغيت,baraġiit
beetle,خنفساء,xunfisa
beetles,خنافس,xanaafis
wasp,دبّور,dabbuur
wasps,دبابير,dabaabiir
spider,عنكبوت,3ankabuut
spiders,عناكب,3anaakib
scorpion,عقربة,3a'raba
scorpions,عقارب,3a'aarib
tail,ديل,deil
tails,ديول,duyuul
hoof,حافر,Haafir
hooves,حوافر,Hawaafir
claw,خربوش,xarbuuš
claws,خرابيش,xarabiiš
fur,فروة,farwa
furs,فراوي,faraawi
beak,منقار,mun'aar
beaks,مناقير,mana'iir
wing,جناح,ginaaH
wings,جناحات | جنحة,ginaaHaat/giniHa
fin,زعنفة,za3nifa
fins,زعانف,za3aanif
city,مدينة,madiina
cities,مدن,mudun
street,شارع,šaari3
streets,شوارع,šawaari3
road,طريق,Tarii'
roads,طرق,Turu'
highway,طريق اتوستراد,Tarii' otostraad
alley; lane,حارة,Haara
alley; lanes,حارات,Haaraat
corner ,ناصية,naSya
corner s,نواصي,nawaaSi
corner ,ركن,rukn
corner s,أركان,arkaan
tunnel,نفق,nafa'
tunnels,انفاق,anfaa'
building,عمارة,3omaara
buildings,عمارات,3omaaraat
real estate,عقار,3aqaar
real estates,عقارات,3aqaaraat
house,بيت,beit
houses,بيوت,buyuut
apartment,شقة,ša''a
apartments,شقق,šu'a'
bridge,كوبري,kobri
bridges,كباري,kabaari
fence,سور,suur
fences,أسوار,aswaar
square,ميدان,miidaan
squares,ميادين,mayadiin
company,شركة,širka
companies,شركات,širakaat
center,مركز,markaz
centers,مراكز,maraakiz
shop,محلّ,maHall
shops,محلات,maHallaat
small grocery shop,بقالة,bi''aala
small grocery shops,بقالات,bi''aalaat
cafe,قهوة,'ahwa
cafes,قهاوي,'ahaawi
club,نادي,naadii
clubs,نوادي,nawaadii
bar,بار,baar
bars,بارات,baraat
movie theater,سينما,sinima
movie theaters,سينمات,sinimaat
theater,مسرح,masraH
theaters,مسارح,masaariH
gallery,معرض,ma3riD
galleries,معارض,ma3aariD
fair,مهرجان,mahragaan
fairs,مهرجانات,mahraganaat
park,جنينة,gineina
parks,جناين,ganaayin
bench,دكّة,dikka
benches,دكك,dikak
restaurant,مطعم,maT3am
restaurants,مطاعم,maTaa3im
school,مدرسة,madrasa
schools,مدارس,madaaris
university,جامعة,gam3a
universities,جامعات,gam3aat
mosque,جامع,gaami3
mosques,جوامع,gawaami3
church,كنيسة,kiniisa
churches,كنايس,kanaayis
synagogue,كنيس,kaniis
temple,معبد,ma3bad
temples,معابد,ma3aabid
tower,برج,burg
towers,أبراج,abraag
graveyard,جبّانة,gabbaana
graveyards,جبّانات,gabbanaat
brick,طوب,Tuub
tin,صفيح,SafiiH
tourism,سياحة,siyaaHa
insurance,تأمين,ta'miin
 exchange,صرافة,Siraafa
bank,بنك,bank
banks,بنوك,bunuuk
ATM,آي تي ام,ATM
library; bookstore,مكتبة,maktaba
library; bookstores,مكتبات,maktabaat
station,محطة,maHaTTa
stations,محطات,maHaTTaat
airport,مطار,maTaar
airports,مطارات,maTaaraat
hotel,فندق,fundu'
hotels,فنادق,fanaadi'
museum,متحف,matHaf
museums,متاحف,mataaHif
palace,قصر,'aSr
palaces,قصور,'uSuur
citadel,قلعة,'al3a
citadels,قلوع,'uluu3
hospital,مستشفى,mustašfa
hospitals,مستشفيات,mustašfayaat
clinic,عيادة,3iyaada
clinics,عيادات,3iyaadaat
bakery,مخبز,maxbaz
bakeries,مخابز,maxaabiz
pharmacy,صيدلية,Saydaliyya
pharmacies,صيدليات,Saydaliyyaat
fountain,نافورة,nafuura
fountains,نوافير,nawafiir
auditorium,مدرّج,mudarrag
auditoriums,مدرّجات,mudarragaat
sidewalk,رصيف,raSiif
covered in asphalt,متسفلت,mitsaflit
pothole; speed bump,مطبّ,maTabb
pothole; speed bumps,مطبّات,maTabbaat
sewer,بلاعة,ballaa3a
sewers,بلاعات,ballaa3aat
sewage,مجاري,magaari
hole,حفرة,Hofra
holes,حفر,Hofar
sign,يافطة,yafTa
signs,يفط,yufaT
public transportation,مواصلات,muwaaSlaat
traffic,مرور,muruur
crowdedness,زحمة,zaHma
noise,دوشة,dawša
pollution,تلوث,tilawwas
mess,هرجلة,hargala
trash,زبالة,zebaala
queue,طابور,Tabuur
queues,طوابير,Tawabiir
car,عربية,3arabiyya
cars,عربيات,3arabiyyaat
bus,اتوبيس,otobiis
buses,اتوبيسات,otobiisaat
bicycle,عجلة,3agala
bicycles,عجل,3agal
motorcycle,موتوسيكل,motosikl
truck,لوري,luuri
trucks,لوريات,luriyyaat
taxi,تاكسي,taksi
taxis,تاكسيات,taksiyaat
meter,عدّاد,3addaad
meters,عدّادات,3addaadaat
tire,كوتش,kawitš
tires,كوتشات,kawitšaat
wheel,عجلة,3agala
wheels,عجلات,3agalaat
brakes,فرامل,faraamil
car hood,كبوت,kabbuut
car hoods,كبابيت,kababiit
clutch,دبرياج,dibriyaaž
clutches,دبرياجات,dibriyažaat
car trunk,شنطة العربية,šanTit il-3arabiyya
workshop,ورشة,warša
workshops,ورش,wiraš
gas,بنزين,binziin
driver's license,رخصة سواقة,ruxSit siwaa'a
driver's licenses,رخص قيادة,ruxaS qiyaada
car horn,زمّارة,zummaara
car horns,زمامير,zamamiir
accident,حادثة,Hadsa
accidents,حوادث,Hawaadis
driver,سوّاق,sawwaa'
drivers,سوّاقين,sawwaa'iin
train,قطر,'aTr
trains,قطرة,'uTura
a train/metro pass for a month or several months,أبونيه,'aboneih
boat,مركب,markab
boats,مراكب,maraakib
boat ,قارب,'aarib
boat s,قوارب,'awaarib
ship,سفينة,safiina
ships,سفن,sufun
liner,عبّارة,3abbaara
liners,عبّارات,3abbaaraat
plane,طيّارة,Tayyaara
planes,طيّارات,Tayyaaraat
passport,جواز,gawaaz 
passports,جوازات السفر,jawaazaat as-safar
visa,فيزا,viiza
visas,فيزات,viizaat
helicopter,مروحية,marwaHiyya
trip,رحلة,riHla
trips,رحلات,riHalaat
to be cancelled ,اتلغى - يتلغي ,itlaġa - yitliġi 
tour,جولة,gawla
tours,جولات,gawlaat
clothes,هدوم,huduum
stylish,أنيق  ,aniiq 
chic,شيك ,šiik 
overdressed,محفلط,moHaflaT
shirt,قميص,'amiiS
shirts,قمصان,'umSaan
sleeve,كم,kumm
sleeves,أكمام,akmaam
blouse,بلوزة,biluuza
blouses,بلوزات,biluzaat
coat,بالطو,balTo
coats,بلاطي,balaaTi
jacket,جكتّة,žakitta
jackets,جكتّات,žakittaat
pants,بنطلون,banTaloon
pants,بنطلونات,banTaloonaat
shorts,شرط,šorT
shorts,شرطات,šorTaat
skirt,جوب,žuup
skirts,جوبات,župaat
dress,فستان,fustaan
dresses,فساتين,fasaatiin
suit,بدلة,badla
suits,بدل,bidal
pajamas,بيجامة,bižaama
pajamas,بيجامات,bižamaat
underwear,ملابس داخلية,malaabis daaxiliyya
underpants,كلوتّ,kilott
underpants,كلوتّات,kilottaat
men's underwear,لباس,libaas
men's underwears,لباسات | لبسة,libasaat/libisa
bra,ستيان,sutyaan
bras,ستيانات,sutyanaat
diaper,كفولة,kafuula
diapers,كوافيل,kawafiil
hat,برنيطة,borneiTa
hats,برانيط,baraniiT
gloves,جونتي,guwanti
gloves,جونتيات,guwantiyaat
scarf,ايشارب,iišaarb
scarves,ايشاربات,išarbaat
belt,حزام,Hizaam
belts,حزمة,Hizima
buckle,ابزيم,abziim
buckles,أبازيم,abaziim
tie,كرفتّة,karavatta
ties,كرفتّات,karavattaat
sock,شراب,šaraab
socks,شرابات,šarabaat
shoe,جزمة,gazma
shoes,جزم,gizam
slipper,شبشب,šibšib
slippers,شباشب,šabaašib
collar,ياقة,yaa'a
collars,ياقات,ya'aat
button,زرار,zuraar
buttons,زراير,zaraayir
pocket,جيب,geib
pockets,جيوب,guyuub
zipper,سوستة,soosta
thread,خيط,xeiT
threads,خيوط,xuyuuT
jewel,جوهرة,gawhara
jewels,جواهر,gawaahir
jewelry,مجوهرات,mugawharaat
gold/silver/jewels,مصوغات,maSuughaat
earring,حلق,Hala'
earrings,حلقان,Hil'aan
necklace,عقد,3u'd
necklaces,عقاد,3i'aad
necklace,كردان,kirdaan
necklaces,كرادين,karadiin
bracelet,اسورة,iswira
bracelets,اساور,asaawir
ring,خاتم,xaatim
rings,خواتم,xawaatim
gold,دهب,dahab
silver,فضّة,faDDa
pearls,لؤلؤ,lu'lu'
glasses,نضّارة,naDDaara
contact lenses,عدسات لاصقة,3adasaat laaSiqa
sunglasses,نضّارة شمس,naDDaarit šams
wristwatch,ساعة يد,saa3it iid
purse,شنطة,šanTa
purses,شنط,šunaT
wallet,محفظة,maHfaZa
wallets,محافظ,maHaafiZ
umbrella,شمسية,šamsiyya
umbrellas,شماسي,šamaasi
fabric,قماشة,'umaaš
silk,حرير,Hariir
silks,حرائر,Haraa'ir
wool,صوف,Suuf
wools,اصواف,aSwaaf
velvet,قطيفة,'aTiifa
cotton,قطن,'uTn
cottons,اقطان,a'Taan
lace,دنتلّة  | دنتل,dantilla | dantel
leather,جلد,gild
dotted,منقّط,mina''aT
striped,مقلّم,mi'allim
plaid,كروهات,karohaat
solid color,سادة,saada
embroidered,مزركش,mizarkaš
patterned,مشجّر,mišaggar
tight,ضيّق,Dayya'
loose,واسع,waasi3
wide,عريض,3ariiD
wides,عراض,3uraaD
modest,حشمة,Hišma
torn,مقطوع,ma'Tuu3
tailor,خيّاط,xayyaaT
tailors,خيّاطون,xayyaTiin
 size,مقاس,ma'aas
 sizes,مقاسات,ma'asaat
to fit,فصّل - يفصّل ,faSSal - yifaSSal 
color,لون,loon
colors,ألوان,alwaan
colored,ملوّن,milawwin
light,فاتح,faatiH
dark,غامق,ġaami'
bright,فاقع,faa'i3
shiny,لمعي,lam3i
black,اسود – سوداء,iswid - sooda
blacks,سود,suud
white,أبيض – بيضاء,abyaD - beiDa
whites,بيض,biiD
blue,أزرق  -  زرقاء,azra' - zar'a
blues,زرق,zur'
navy blue,كحلي,kuHli
royal blue,زهري,zahri
sky blue,سماوي,samaawi
baby blue,لبني,labani
indigo,نيلي,niili
turquoise,فيروزي,faruuzi
green,أخضر – خضراء,axDar - xaDra
greens,خضر,xuDr
bluish green,جنزاري,ginzaari
dark green,زيتي,zeiti
mustard  green,كموني,kammuuni
olive green,زتوني,zatuuni
pastel green,كرمبي,kurumbi
purple,بنفسجي,banafsigi
red,أحمر - حمراء,aHmar - Hamra
reds,حمر,Humr
scarlet,قرمزي,qurmuzi
pink,بمبي,bambi
shocking pink,بمبي مسخسخ,bambi msaxsax
rose-colored,وردي,wardi
orange,برتقاني,burtu'aani
yellow,أصفر – صفراء,aSfar - Safra
yellows,صفر,Sufr
canary yellow,كناري,kanaari
lemon yellow,لموني,lamuuni
brown,بني,bunni
light brown,بصلي,baSali
light brown ,عسلي,3asali
brown-skinned ,أسمر - سمراء,asmar - samra
brown-skinned s,سمر,sumr
wheat-colored ,قمحي,'amHi
fair-skinned,أبيضاني - بيضا,abyaDaani - beiDa
fair-skinneds,بيض,biiD
pale,باهت,baahit
blond ,أشقر - شقراء,aš'ar - ša'ra
blond s,شقر,šu'r
chestnut,كستنائي,kastanaa'i
cream,أصفر شاحب,aSfar šaaHib
grey,رمادي,ramaadi
gold,ذهبي,dahabi
silver,فضي,faDDi
beige,بيج,beiž
off-white,سمني,samni
burgundy,نبتي,nibiti
maroon,زبيبي,zibiibi
crime ,اجرام,ijraam
crime,جريمة,jariima
crimes,جرائم,jaraa'im
criminal,مجرم,mujrim
criminals,مجرمون,mujrimuun
murderer,سفاح,saffaaH
victim,ضحية,DaHiyya
victims,ضحايا,DaHaaya
prisoner,أسير,asiir
prisoners,أسرى,asra
suspect in,مشتبه في,muštaba fi
accused of,متهم بـ,muttaham bi
involvement in,ضلع,Dil3
involvement ins,ضلوع في,Duluu3 fi
illegal,غير قانوني,ġeir qaanuuni
warrant,مذكرة توقيف,mudakkirat tawqiif
bail,كفالة,kafaala
trial,محاكمة,muHaakama
case,قضية,qaDiyya
cases,قضايا,qaDaaya
court or tribunal,محكمة,maHkama
court or tribunals,محاكم,maHaakim
judge,قاضٍ,qaaDin
judges,قضاة,quDaah
lawyer,محامٍ,muHaamin
lawyers,محاميون,muHaamiyuun
jury,هيئة محلفين,hei'at muHallafiin
juror,محلّف,muHallaf
jurors,محلّفون,muHallafuun
witness,شاهد,šaahid
witnesses,شهود,šuhuud
eyewitness,شاهد عيان,šaahid 3iyaan
prosecution,ادعاء,iddi3aa'
defense,دفاع,difaa3
case,قضية,qaDiyya
cases,قضايا,qaDaaya
proof,دليل,daliil
proofs,أدلة,adilla
guilty,مذنب,mudnib
guilties,مذنبون,mudnibuun
innocent,برئ,bari'
innocents,أبرياء,abriyaa'
theft,سرقة,sariqa
robbery,نهب,nahb
burglary of,سطو على,saTw 3ala
drug possession,حيازة مخدرات,Hiyaazat muxaddiraat
drug trade,متاجرة مخدرات,mutaajarat muxaddiraat
smuggling,تهريب,tahriib
rape,اغتصاب,iġtiSaab
murder,قتل,qatl
bribery,ارتشاء | رشوة,irtišaa'/rašwa
embezzlement,اختلاس,ixtilaas
fraud,احتيال,iHtiyaal
blackmail,ابتزاز,ibtizaaz
punishment ,عقاب,3iqaab
 punishment,عقوبة,3uquuba
 punishments,عقوبات,3uquubaat
sentence,حكم,Hukm
sentences,أحكام على,aHkaam 3ala
sentenced to,محكوم بـ,maHkuum bi
fine,غرامة,ġaraama
fines,غرامات,ġaraamaat
prison,سجن,sijn
prisons,سجون,sujuun
prison cell,زنزانة,zinzaana
prison cells,زنزانات,zinzaanaat
imprisonment,حبس,Habs
hanging,شنق,šanq
gallows,مشنقة,mišnaqa
gallows,مشانق,mašaaniq
chained,مكبل,mukabbal
chains,سلاسل    سلسلة,salaasil  silsila
school,مدرسة,madrasa
schools,مدارس,madaaris
nursery school,حضانة,HaDaana
nursery schools,حضانات,HaDanaat
university,جامعة,gam3a
universities,جامعات,gam3aat
department,قسم,'ism
departments,اقسام,a'saam
program,برنامج,barnaamag
programs,برامج,baraamig
studies,دراسات,dirasaat
curriculum,منهج,manhag
curricula,مناهج,manaahig
school subject (or material,مادّة,madda
school subject (or materials,موادّ,mawaadd
college,كلية,kulliyya
colleges,كليات,kulliyyaat
institute,معهد,ma3had
institutes,معاهد,ma3aahid
diploma,شهادة,šahaada
with distinction,بامتياز,bimtiyaaz
baccalaureate,بكالوريا,bakalooriyaa
BA ,ليسانس,lesaans
BS ,بكالوريوس,bakaloriyoos
masters',ماجستير,majisteir
doctorate,دكتوراه,doctooraah
professor,أستاذ,ustaaz
professors,اساتذة,asatza
teacher,مدرّس,mudarris
pupil,تلميذ,tilmiiz
pupils,تلاميذ,talamiiz
student,طالب,Taalib
students,طلاب,Tullaab
major,تخصّص,taxaSSuS
majors,تخصّصات بـ,taxaSSuSaat bi
lesson,درس,dars
lessons,دروس,duruus
homework ,واجب,waagib
homework s,واجبات,wagibaat
exam,امتحان,imtiHaan
exams,امتحانات,imtiHanaat
test,اختبار,ixtibaar
tests,اختبارات,ixtibaraat
lecture,محاضرة,muHaDra
discussion,مناقشة,muna'ša
research,أبحاث,abHaas
analysis,تحليل,taHliil
analyses,تحاليل,taHaliil
 exercise,تمرين,tamriin
 exercises,تمارين | تمرينات,tamariin/tamrinaat
 activity,نشاط,našaaT
 activities,نشاطات | أنشطة,našaTaat/anšiTa
presentation,تقديم,ta'diim
presentations,تقديمات,ta'dimaat
textbook,كتاب مدرسي,kitaab madrasi
textbooks,كتب مدرسية,kutub madrasiyya
grade,صف,Saff
grades,صفوف,Sufuuf
class,فصل,faSl
classes,فصول,fuSuul
class period,حصّة,HiSSa
class periods,حصص,HiSaS
recess,اجازة,agaaza
recesses,اجازات,agazaat
scholarship,منحة,minHa
scholarships,منح,minaH
financial aid,مساعدات مالية,musaa3adaat maaliyya
student loan,قرض دراسي,qarD diraasii
student loans,قروض دراسية,quruuD diraasiyya
cost,كلفة,kulfa
costs,كلف,kulaf
funding,تمويل,tamwiil
notebook,كرّاسة,kurraasa
notebooks,كرّاسات,kurrasaat
 notebook,كشكول,kaškuul
 notebooks,كشاكيل,kašakiil
pen,قلم,'alam
pens,أقلام,a'laam
pencil,قلم رصاص,'alam raSaaS
paper,ورقة,wara'a
papers,أوراق,awraa'
eraser,أستيكة,astiika
erasers,أساتيك,asatiik
blackboard,تختة,tuxta
blackboards,تخت,tuxat
chalk,طباشير,Tabašiir
calculator,آلة حاسبة,aala Hasba
calculators,آلات حاسبة,alaat Hasba
 ruler,مسطرة,masTara
 rulers,مساطر,masaaTir
encyclopedia,موسوعة,mawsuu3a
encyclopedias,موسوعات,mawsuu3aat
dictionary,قاموس,qamuus
dictionaries,قواميس,qawamiis
grade,درجة,daraga
grades,درجات,daragaat
good grades,درجات عالية,daragaat 3alya
right,صح,SaHH
wrong,غلط,ġalaT
__ plus __ is __,__ زائد __ يساوي __,__ zaa'id __ yisaawi __
__ minus __ is __,__ ناقص __ يساوي __,__ naa'iS __ yisaawi __
__ times __ is __,__ في __ يساوي __,__ fi __ yisaawi __
__  by __ is __,__ على __ يساوي __,__ 3ala __ yisaawi __
equation,معادلة,mu3adla
equations,معادلات,mu3adlaat
fraction,كسر,kasr
fractions,كسور,kusuur
 problem,مسألة,mas'ala
 problems,مسائل,masaa'il
shape,شكل,šakl
shapes,أشكال,aškaal
circle,ديرة,deira
circles,دواير,dawaayir
square,مربع,mirabba3
squares,مربعات,mirabba3aat
rectangle,مستطيل,mustaTiil
rectangles,مستطيلات,mustaTiilaat
triangle,مثلث,musallas
triangles,مثلثات,musallasaat
side,ضلع,Dil3
sides,ضلوع,Duluu3
angle,زاوية,zawya
angles,زوايا,zawaaya
art,فن,fann
arts,فنون,funuun
science,علم,3ilm
sciences,علوم,3uluum
language,لغة,luġa
languages,لغات,luġaat
grammar,قواعد,qawaa3id
vocabulary,مفردات,mufradaat
synonym,مرادف,muraadif
synonyms,مرادفات,muradifaat
spelling,تهجية,tahgiyya
pronunciation,لفظ,lafZ
pronunciations,ألفاظ,alfaaZ
style ,أسلوب,usluub
fluency,طلاقة,Talaaqa
proficiency,كفاءة,kafaa'a
skill,مهارة,mahaara
skills,مهارات,maharaat
ability,قدرة,'udra
abilities,قدرات,'udaraat
feeling,احساس,iHsaas
feelings,احاسيس,aHasiis
emotion,عاطف,3aaTif
emotions,عواطف,3awaaTif
emotional or sentimental,عاطفي,3aaTifi
to hide or repress one's feelings,كتم - يكتم  في نفسه,katam - yiktim  fi nafsu
passion,عشق,3iš'
love,حبّ,Hubb
hate,كراهية,karaahiyya
yearning,حنين,Haniin
longing,شوق,šoo'
despair,يأس,ya's
bitterness,مرارة,maraara
tear,دمع,dam3
tears,دموع,dumuu3
smiling ,بشوش,bašuuš
smiling ,بشوش,bašuuš
frowning ,مكشّر,mikaššar
to bellow at,جعر - يجعر  في,ga3ar - yig3ar  fi
to yell at,شخط - يشخط  في,šaxaT - yušxoT  fi
to belittle,هزّأ - يهزّأ ,hazza' - yihazza' 
to speak rudely to s.o.,بجّح - يبجّح  في,baggaH - yibaggaH  fi
to to break off relations with s.o. because of a dispute,خاصم - يخاصم ,xaaSim - yixaaSim 
a public disgrace,جرسة,gorsa
a public disgraces,جرس,goras
to spread scandal/gossip maliciously,نم - ينم ,namm - yinimm 
scandal-monger,نمام,nammaam
to excuse and sympathize with,عزر - يعزر ,3azar - yi3zur 
 kiss,بوسة,boosa
 kisses,بوسات,boosaat
to gasp,شهق - يشهق ,šihi' - 
yišha' 
to moan,أن - يئن ,ann - 
ya'inn 
 sigh,تنهيدة,tanhiida
 sighs,تناهيد,tanahiid
personality,شخصية,šaxSiyya
personalities,شخصيات,šaxSiyyaat
happy ,مبسوط ,mabsuuT 
happy s,سعداء ,su3adaa' 
glad,فرحان
 ,farHaan 
delighted ,مسرور 
,masruur 
cheerful ,مرح 
,mariH 
proud ,فخور ,faxuur
 
content,راضي,raaDi
to be really happy about s.t. or really enjoy it,انسجم - ينسجم  من,insagam - 
yinsigim  min
very happy/pleased,منسجم,munsagim
sad ,حزين,Haziin
sad s,حزانة ,Hazaana 
regretful ,ندمان ,nadmaan
 
depressed,مكتئب,mukta'ib
miserable,تعيس,ta3iis
miserables,تعساء,tu3asa
miserable,مسكين,miskiin
miserables,مساكين,masakiin
comfortable,مستريح,mistarayyaH
busy,مشغول,mašġuul
hopeful ,عشمان ,3ašmaan 
indifferent,مطنش,miTanniš
worried ,قلقان  ,'al'aan
 
worries,هموم    هم,humuum
  hamm
tense,متوتر,mitwattar
stressed,مشدود,mašduud
upset,زعلان,za3laan
to get upset,زعل - يزعل,zi3il - yiz3al
annoyed,متضايق,mitdaayi'
to irritate s.o.,غاظ - يغيظ,ġaaZ - yiġiiZ
troublemaker,مشاغب,mušaaġib
frustrated,عنده احباط,3andu iHbaaT
fed up with,مخنوق,maxnuu' min
to get fed up with s.t.,زهق - يزهق من,zihi' - 
yizha' min
angry ,غضبان ,ġaDbaan 
furious ,مفقوع من,maf'uu3 min
to explode with anger at,طقّ - يطقّ من,Ta'' - 
yiTa'' min
His blood boiled ,دمه اتحرق,dammu itHara'
embarrassed,مكسوف,maksuuf
bashful,خجول,xaguul
sensitive,حساس,Hassaas
quiet or calm,هادي,haadi
lonely,وحداني,waHdaani
loneliness,وحدة,wiHda
unfriendly,منطوي على نفسه,minTiwi 
3ala nafsu
sociable,اجتماعي,igtimaa3i
chatterbox ,رغاي,raġġaay
naughty,شقي,ša'i
naughties,اشقياء,aš'iya
reckless,متهوّر,mutahawwir
amazed,مندهش,mindihiš
astonished,مستغرب,mistaġrab
to be taken aback,اتاخد - يتاخد,ittaaxid - 
yittaaxid/itxadd - yitxadd
shocked,مصعوق,maS3uu'
to give s.o. a shock,صعق - يصعق ,Sa3a' - 
yiS3a' 
confused ,حيران ,Hayraan 
to confuse,لخبط - يلخبط ,laxbaT
 - yilaxbaT 
hesitant,متردّد,mutaraddid
firm,حازم,Haazim
decisive,حاسم,Haasim
afraid ,خايف ,xaayif
 
panic,ذعر,zu3r
jealous ,غيران,ġayaraan
jealous s,غيارى ,ġayaari 
envious ,حسود,Hasuud
envious s,حساد ,Hussaad 
disgusted ,مشمقنط,mišma'naT
confident ,واثق بـ,waasi' bi
tired,تعبان,ta3baan
sleepy,نعسان,na3saan
stubborn,عندي,3anadi
stubborns,عند,3unud
hard-headed,راسه ناشفة,raasu našfa
greedy,طماع,Tammaa3
gluttonous,فجعان,fag3aan
selfish,أناني,anaani
selfless,غيري,ġeiri
generous,كريم,kariim
generous,كرام,karaam
spendthrift,يده مخرومة,iidu maxruuma
to spend too much money,فرّط - يفرّط  في فلوسه,farraT
 - yifarraT  fi fluusu
stingy,بخيل,baxiil
frugal,حريص على فلوسه,HariiS 
3ala fluusu
careful,حريص,HariiS
carefuls,حرصاء على,HuraSa 3ala
careless,مهمل,muhmil
affectionate ,حنون ,Hanuun 
loving,محبّ,muHibb
kind,طيّب ,Tayyib 
kind,شفوق,šafuu'
kinds,شفقاء,šufa'a
kind,سمح,simiH
nice,لطيف,laTiif
nices,لطاف ,luTaaf 
pleasant,ظريف,Zariif
pleasants,ظراف 
,Zuraaf 
tolerant,حليم,Haliim
tolerants,حلماء,Hulama
gentle,رقيق,ra'ii'
gentles,رقاق,ru'aa'
polite,مؤدب,mu'addab
impolite,قليل \ عديم الأدب,'aliil/3adiim
 il-'adab
shameless,قليل \ عديم الحياء,'aliil/3adiim
 il-Haya
lazy,كسلان,kaslaan
hardworking,مجتهد,mugtahid
determined,مصمم,muSammim
alert,فائق,faayi'
active,نشيط,našiiT
actives,نشطاء,nušaTa
picky,موسوس,miwaswis
fussy,نمكي,nimaki
irritable,عصبي,3aSabi
to get on s.o.'s nerves,نرفز - ينرفز ,narviz
 - yinarviz 
brave,شجاع,šugaa3
braves,,šug3aan
bold,جرئ,garii'
bolds,,gura'a
