English,Egyptian Arabic,Transliteration
  hamm
tense,متوتر,mitwattar
stressed,مشدود,mašduud
upset,زعلان,za3laan
to get upset,زعل - يزعل,zi3il - yiz3al
annoyed,متضايق,mitdaayi'
to irritate s.o.,غاظ - يغيظ,ġaaZ - yiġiiZ
troublemaker,مشاغب,mušaaġib
frustrated,عنده احباط,3andu iHbaaT
fed up with,مخنوق,maxnuu' min
to get fed up with s.t.,زهق - يزهق من,zihi' - 
yizha' min
angry ,غضبان ,ġaDbaan 
furious ,مفقوع من,maf'uu3 min
to explode with anger at,طقّ - يطقّ من,Ta'' - 
yiTa'' min
His blood boiled ,دمه اتحرق,dammu itHara'
embarrassed,مكسوف,maksuuf
bashful,خجول,xaguul
sensitive,حساس,Hassaas
quiet or calm,هادي,haadi
lonely,وحداني,waHdaani
loneliness,وحدة,wiHda
unfriendly,منطوي على نفسه,minTiwi 
3ala nafsu
sociable,اجتماعي,igtimaa3i
chatterbox ,رغاي,raġġaay
naughty,شقي,ša'i
naughties,اشقياء,aš'iya
reckless,متهوّر,mutahawwir
amazed,مندهش,mindihiš
astonished,مستغرب,mistaġrab
to be taken aback,اتاخد - يتاخد,ittaaxid - 
yittaaxid/itxadd - yitxadd
shocked,مصعوق,maS3uu'
to give s.o. a shock,صعق - يصعق ,Sa3a' - 
yiS3a' 
confused ,حيران ,Hayraan 
to confuse,لخبط - يلخبط ,laxbaT
 - yilaxbaT 
hesitant,متردّد,mutaraddid
firm,حازم,Haazim
decisive,حاسم,Haasim
afraid ,خايف ,xaayif
 
panic,ذعر,zu3r
jealous ,غيران,ġayaraan
jealous s,غيارى ,ġayaari 
envious ,حسود,Hasuud
envious s,حساد ,Hussaad 
disgusted ,مشمقنط,mišma'naT
confident ,واثق بـ,waasi' bi
tired,تعبان,ta3baan
sleepy,نعسان,na3saan
stubborn,عندي,3anadi
stubborns,عند,3unud
hard-headed,راسه ناشفة,raasu našfa
greedy,طماع,Tammaa3
gluttonous,فجعان,fag3aan
selfish,أناني,anaani
selfless,غيري,ġeiri
generous,كريم,kariim
generous,كرام,karaam
spendthrift,يده مخرومة,iidu maxruuma
to spend too much money,فرّط - يفرّط  في فلوسه,farraT
 - yifarraT  fi fluusu
stingy,بخيل,baxiil
frugal,حريص على فلوسه,HariiS 
3ala fluusu
careful,حريص,HariiS
carefuls,حرصاء على,HuraSa 3ala
careless,مهمل,muhmil
affectionate ,حنون ,Hanuun 
loving,محبّ,muHibb
kind,طيّب ,Tayyib 
kind,شفوق,šafuu'
kinds,شفقاء,šufa'a
kind,سمح,simiH
nice,لطيف,laTiif
nices,لطاف ,luTaaf 

pleasant,ظريف,Zariif
pleasants,ظراف 
,Zuraaf 
tolerant,حليم,Haliim
tolerants,حلماء,Hulama
gentle,رقيق,ra'ii'
gentles,رقاق,ru'aa'
polite,مؤدب,mu'addab
impolite,قليل \ عديم الأدب,'aliil/3adiim
 il-'adab
shameless,قليل \ عديم الحياء,'aliil/3adiim
 il-Haya
lazy,كسلان,kaslaan
hardworking,مجتهد,mugtahid
determined,مصمم,muSammim
alert,فائق,faayi'
active,نشيط,našiiT
actives,نشطاء,nušaTa
picky,موسوس,miwaswis
fussy,نمكي,nimaki
irritable,عصبي,3aSabi
to get on s.o.'s nerves,نرفز - ينرفز ,narviz
 - yinarviz 
brave,شجاع,šugaa3
braves,,šug3aan
bold,جرئ,garii'
bolds,,gura'a
cowardly,جبان,gabaan
cowardlies,جبناء,gubana
curious,فضولي,fuDuuli
egotistical,مغرور,maġruur
conceited,قليط,'aliiT
pompous,متكبّر,mutakabbir
to make false boasts or claims,هجص - يهجص ,hagaS - yihguS 
to show off,اتمنظر - يتمنظر  على,itmanZar
 - yitmanZar  3ala
humble,متواضع,mitwaaDi3
sensible,عاقل,3aa'il
sensibles,عقلاء,3u'ala
insane,مجنون,magnuun
insanes,مجانين,maganiin
crazy,مهووس,mahwuus
crazies,مهاويس,mahawiis
ignorant,جاهل,gaahil
ignorants,جهلاء,guhala
petty,هايف,haayif
stupid,سخيف,saxiif
stupids,سخفاء,suxafa
stupid,غبي,ġabi
stupids,أغبياء,aġbiya
smart,ذكي,zaki
smarts,أذكياء,azkiya
clever,شاطر,šaaTir
clevers,شاطرين,šaTriin
smart,نبيه,nabiih
smarts,نبهاء,nubaha
clever,ناصح,naaSiH
clevers,نصحاء,nuSaHa
wise ,حكيم,Hakiim
wise s,حكماء ,Hukama 
genius,عبقري,3abqari
geniuses,عباقرة,3abaqra
noble,نبيل,nabiil
nobles,نبلاء,nubala
honorable,شريف,šeriif
honorables,شرفاء,šurafa
honest,أمين,amiin
honests,أمناء ,umana 
truthful,صادق,Saadi'
honest,نزيه,naziih
honests,نزهاء,nuzaha
straightfoward,دغري,doġri
liar,كداب,kaddaab
treacherous,غدار,ġaddaar
swindler,نصاب,naSSaab
someone who tells tall tales,فشار,faššaar
cunning,مكّار,makkaar
cruel ,قاس,'aasi 
cruel s,قساة ,qusaah 
sophisticated,مدردح,midardaH
naive,ساذج,saazig
naives,سذاج,suzzaag
optimistic,متفائل,mitfaa'il
pessimistic,متشائم,mitšaa'im
unique,فريد,fariid
fun to be around,دمه خفيف,dammu xafiif
funny,بيضحّك الناس,biDaHHik 
in-naas
dull,دمه تقيل,dammu ti'iil
tedious,بايخ \ دمه بايخ,baayix/dammu baayix
