English,Standard Arabic,Transliteration
injury,جرح,jurH
injuries,جراح,jiraaH
injured,جريح,jariiH
injureds,جرحى,jarHa
killed,قتيل,qatiil
killeds,قتلى,qatla
to meet one's death,لقى حتفه | مصرعه,laqiya Hatfahu/maSra3ahu
death,وفاة | موت | حتف | مصرع,wafaah/moot/Hatf/maSra3
victim,ضحية,DaHiyya
victims,ضحايا,DaHaaya
martyr,شهيد,šahiid
martyrs,شهداء,šuhadaa'
civilian,مدني,madani
civilians,مدنيون,madaniyuun
innocent,برئ,bari'
innocents,أبرياء,abriyaa'
unarmed,أعزل,a3zal
unarmeds,عزل,3uzl
corpse,جثة,jutta
corpses,جثث,jutat
funeral,جنازة,janaaza
funerals,جنازات,janaazaat
graveyard,جبانة,jabbaana
graveyards,جبانات,jabbaanaat
grave,قبر,qabr
graves,قبور,qubuur
deceased,مرحوم,marHuum
late lamented,مأسوف,ma'suuf
departed ,راحل,raaHil
army,جيش,jeiš
armies,جيوش,juyuuš
 forces,قوات ,quwwaat musallaHa
air force,قوات جوية,quwwaat jawwiyya
regiment,فوج,fawj
regiments,أفواج,afwaaj
tank,دبابة,dabbaaba
tanks,دبابات,dabbaabaat
armored car,مدرّعة,mudarra3a
armored cars,مدرّعات,mudarra3aat
gunman,مسلح,musallaH
gunmen,مسلحون,musallaHuun
rank,رتبة,rutba
ranks,رتب,rutab
soldier,جندي,jundi
soldiers,جنود,junuud
officer,ضابط,DaabiT
officers,ضباط,DubbaaT
sniper,قناص,qannaaS
snipers,قناصة,qanaaSa
commando,مغوار,miġwaar
commandos,مغاوير,maġaawiir
private,عسكري,3askari
corporal,عريف,3ariif
sergeant,رقيب,raqiib
lieutenant,ملازم,mulaazim
major,رائد,raa'id
colonel,عقيد,3aqiid
brigadier general,عميد,3amiid
general,لواء,liwaa'
enemy,عدو,3aduuww
enemies,أعداء,a3daa'
defeat,هزيمة,haziima
defeats,هزائم,hazaa'im
loss,خسارة,xusaara
victory,نصر,naSr
victory,انتصار,intiSaar
victories,انتصارات,intiSaaraat
treaty; charter,ميثاق,miitaaq
treaty; charters,مواثيق,mawaatiiq
treaty,معاهدة,mu3aahada
treaties,معاهدات,mu3aahadaat
treaty; agreement,اتفاقية,ittifaaqiyya
treaty; agreements,اتفاقيات,ittifaaqiyyaat
agreement,اتفاق,ittifaaq
agreements,اتفاقات,ittifaaqaat
armistice,هدنة,hudna
armistices,هدنات,hudanaat
solution,حل,Hall
solutions,حلول,Huluul
compromise,حل وسط,Hall wasaT
negotiations,مفاوضات,mufaawaDaat
talks,محادثات,muHaadataat
dialogue,حوار,Hiwaar
mediator,وسيط,wasiiT
mediators,وسطاء,wusaTaa'
