English,Egyptian Arabic,Transliteration
introductions,مقدمات,muqaddimaat
preface,تمهيد,tamhiid
dedication to,اهداء لـ | إلى,ihdaa' li/ila
chapter,فصل,faSl
chapters,فصول,fuSuul
index,فهرس,fihris
indices,فهارس,fahaaris
page,صفحة,SafHa
pages,صفحات,SafaHaat
word,كلمة,kelma
words,كلمات,kelimaat
sentence,جملة,gomla
sentences,جمل,gumal
line,سطر,saTr
lines,سطور,suTuur
paragraph,فقرة,fiqra
paragraphs,فقرات,fiqaraat
passage,نص,naSS
passages,نصوص,nuSuuS
poetry,شعر,ši3r
poem,قصيدة,'aSiida
poems,قصائد,'aSaayid
stanza,مقطوعة,maqtuu3a
stanzas,مقطوعات,maqTuu3aat
verse,بيت,bait
verses,أبيات,abyaat
collection of poetry,ديوان,diiwaan
collection of poetries,دواوين,dawaawiin
poet,شاعر,šaa3ir
poets,شعراء,šu3araa'
complete works,أعمال كاملة,a3maal kaamila
play,مسرحية,masraHiyya
plays,مسرحيات,masraHiyyaat
theater,مسرح,masraH
theaters,مسارح,masaariH
act,فصل,faSl
acts,فصول,fuSuul
scene,مشهد,mašhad
scenes,مشاهد,mašaahid
television,تلفزيون,televizyoon
televisions,تلفزيونات,televizyoonaat
program,برنامج,barnaamag
programs,برامج,baraamig
TV show,مسلسل,musalsal
TV shows,مسلسلات,musalsalaat
episode,حلقة,Hal'a
episodes,حلقات,Hal'aat
report,تقرير,taqriir
reports,تقارير,taqaariir
network,شبكة,šabaka
networks,شبكات,šabakaat
channel,قناة,qanaah
channels,قناوات,qanaawaat
satellite channels,فضائيات,faDaa'iyaat
advertisement ,إعلان,i3laan
advertisement s,إعلانات,i3laanaat
host,مقدّم,muqaddim
correspondent,مراسل,muraasil
broadcaster,مذيع,muzii3
live ,مباشر,mubaašir
breaking news,أخبار عاجلة,axbaar 3aagila
coming up,بعد شوية,ba3d šiwayya
newspaper,جريدة,gariida
newspapers,جرائد,garaayid
magazine,مجلة,magalla
magazines,مجلات,magallaat
issue ,عدد,3adad
issue s,أعداد,a3daad
journalism,صحافة,SiHaafa
editor,رئيس تحرير,ra'iis taHriir
journalist,صحفي,SuHufi
photographer,مصوراتي,muSawwaraati
photographers,مصوراتية,muSawwaraatiyya
photography,تصوير,taSwiir
picture,صورة,Suura
pictures,صور,Suwar
camera,كاميرا,kamira
cameras,كاميرات,kamiraat
interview,مقابلة,mu'abla
article,مقالة,maqaala
articles,مقالات,maqaalaat
column,عمود,3amuud
columns,أعمدة,a3mida
classified ads,إعلانات مبوبة,i3laanaat mubawwaba
